x,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1
4.64,10.29,10.29,11.06,8.99,9.45,10.29
5.64,10.21,10.11,10.92,8.81,9.54,10.32
6.64,10.29,10.24,10.66,9.06,9.53,10.3
7.64,10.3,9.95,10.31,9.23,9.49,10.31
8.64,10.33,10.14,10.72,9.1,9.41,10.22
9.64,10.97,10.32,10.77,9,9.48,10.24
10.64,11.01,10.26,10.7,9.12,9.52,10.32
11.64,10.75,10.14,10.67,8.98,9.5,10.26
12.64,10.79,10.22,10.59,9.12,9.65,10.27
13.64,10.6,10.13,10.6,8.97,9.73,10.23
14.64,10.72,10.1,10.8,9.3,9.82,10.25
15.64,11.09,10.67,11.01,9.53,9.94,10.26
16.64,11.46,10.92,11.33,10.17,10.17,10.33
17.64,12.03,11.33,11.56,10.84,10.48,10.36
18.64,12.19,11.82,12.12,11.42,10.9,10.63
19.64,12.39,12.19,12.67,11.86,11.27,10.93
20.64,13.44,12.49,12.73,11.96,11.46,11.09
21.64,13.53,12.89,12.96,11.98,11.47,11.12
22.64,12.78,12.48,12.88,11.84,11.29,10.95
23.64,13.73,12.97,13.28,11.92,11.18,10.88
24.64,13.9,13.09,13.22,11.9,11.3,10.91
25.64,13.71,13.1,13.15,11.87,11.35,10.87
26.64,13.61,12.98,13.09,12.08,11.39,10.84
27.64,13.58,13.02,13.06,12.03,11.43,10.82
28.64,13.54,13.05,13.03,12.08,11.49,10.72
29.64,13.94,13.33,13.35,12.19,11.63,10.88
30.64,13.81,13.24,13.38,11.86,11.77,11.3
31.64,14.26,13.56,13.72,12.17,12.14,11.52
32.64,14.27,13.74,13.92,12.3,12.19,11.82
33.64,14.18,13.63,13.98,12.21,12.38,12.15
34.64,14.63,13.62,14.01,11.96,12.23,12.62
35.64,14.62,13.87,14.1,12.19,12.34,12.53
36.64,14.07,13.45,13.7,12.02,12.32,12.5
37.64,14,13.38,13.69,12.22,12.41,12.56
38.64,13.89,13.14,13.37,11.79,12.26,12.41
39.64,13.68,13.02,13.24,12.16,12.28,12.24
40.64,13.93,13.2,13.56,12.31,12.09,12.26
41.64,14.64,13.75,13.79,12.11,12.06,12.11
42.64,14.7,13.9,13.98,12.31,12.04,11.86
43.64,14.61,14.03,14.23,12.11,12.14,11.78
44.64,14.36,13.99,14.39,12.16,12.46,11.99
45.64,15.35,14.39,14.33,11.99,12.34,11.93
46.64,15.37,14.36,14.2,11.85,12.13,11.79
