layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,depth1,depth2,depth3,depth4,depth5,depth6,depth7,depth8,depth9,depth10,depth11,depth12,depth13,
17.34785927,15.50772285,13.67053999,11.98552149,10.53552051,9.421518749,8.644536653,8.134710811,7.811279488,7.608034084,7.476635514,7.387706856,7.324397568,7.278020378,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
25.96930428,19.16149306,15.80003476,13.15702914,10.95182293,9.387027129,8.406893653,7.840677435,7.531821948,7.369739848,7.285443684,7.238508867,7.210325186,7.191140515,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
17.37106328,17.04971697,16.98427256,14.72710671,11.76000188,9.548362456,8.24198467,7.562580352,7.246376812,7.11997152,7.082654579,7.080648587,7.089684509,7.100759781,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
26.39706465,21.94811466,21.00443194,17.40129118,13.00880696,9.909820632,8.175946366,7.32976618,6.977393246,6.872852234,6.877579092,6.919457515,6.966699178,7.008199594,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
19.48634008,19.04000305,20.55371714,18.27719189,13.80891227,10.23614793,8.157937673,7.142857143,6.73718251,6.640988179,6.679580522,6.760868095,6.844158511,6.915151096,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
11.31516118,14.20111621,17.04651995,16.92219176,13.79139141,10.39901001,8.155276464,7.000350018,6.5333856,6.431695395,6.493928177,6.608511763,6.724497344,6.823144105,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
33.97546971,25.06831115,19.58940605,16.92591527,13.86174298,10.57551979,8.200082001,6.909417536,6.369832473,6.248828345,6.323110971,6.464541987,6.608948516,6.734006734,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
26.04709314,23.7659529,19.53468383,17.15001115,14.28836784,10.91262263,8.326394671,6.872379905,6.244146113,6.090875868,6.168650916,6.329915179,6.50026001,6.649378283,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
16.81152598,20.82292187,20.93933874,19.10511635,15.54798887,11.51609374,8.541168432,6.879471657,6.147792942,5.954153022,6.028454304,6.20578379,6.397952655,6.568575933,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
20.09081046,23.24338145,23.69331375,21.36569524,16.86710409,12.12856277,8.758868354,6.893699159,6.062810719,5.82954413,5.899008966,6.089763108,6.301991429,6.49266329,0.03125,0.10155,0.18945,0.29935,0.43665,0.6083,0.8229,1.0911,1.4264,1.8455,2.3693,3.0242,3.8427,
