    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
    1    2         3    4        0.78336         60.660         61.160         0.95496E+02    0.95496E+02    0
    1    2         4    5       -0.26709         52.123         51.879         0.56865E+02    0.56865E+02    0
    1    2         5    6       -0.32356         75.076         74.423         0.37002E+02    0.37002E+02    0
    1    2         6    7       -1.27985         82.186         77.393         0.21300E+02    0.21300E+02    0
    1    2         7    8       -0.96588         83.931         77.747         0.12620E+02    0.12620E+02    0
    1    2         8    9       -0.70700        109.786        102.533         0.10345E+02    0.10345E+02    0
    1    2         9   10       -0.72200        113.911        103.007         0.71757E+01    0.71757E+01    0
    1    2        10   11       -0.53634        118.891        107.342         0.52489E+01    0.52489E+01    0
    1    2        11   12       -0.36387        113.380        102.602         0.36430E+01    0.36430E+01    0
    1    2        12   13       -0.37537        150.481        135.684         0.36264E+01    0.36264E+01    0
    2    3         4    5        0.27501         40.429         40.551         0.90633E+02    0.90633E+02    0
    2    3         5    6        1.22977         59.146         60.337         0.61721E+02    0.61721E+02    0
    2    3         6    7       -0.74966         66.508         65.027         0.33273E+02    0.33273E+02    0
    2    3         7    8       -0.67347         70.032         67.496         0.18264E+02    0.18264E+02    0
    2    3         8    9       -0.48338         94.233         91.066         0.14140E+02    0.14140E+02    0
    2    3         9   10       -0.61620         99.287         92.964         0.93646E+01    0.93646E+01    0
    2    3        10   11       -0.47471        105.543         98.272         0.66510E+01    0.66510E+01    0
    2    3        11   12       -0.27864        101.135         95.019         0.44667E+01    0.44667E+01    0
    2    3        12   13       -0.30562        136.099        126.909         0.43717E+01    0.43717E+01    0
    2    3        13   14       -0.28413        149.841        138.502         0.36110E+01    0.36110E+01    0
    3    4         5    6       -2.57839         74.466         71.391         0.96942E+02    0.61140E+02    1
    3    4         6    7        0.34899         69.441         69.800         0.67745E+02    0.67745E+02    0
    3    4         7    8        0.49024         72.797         73.795         0.36027E+02    0.36027E+02    0
    3    4         8    9        0.36740         99.991        101.434         0.25637E+02    0.25637E+02    0
    3    4         9   10       -0.59753        108.929        105.006         0.16291E+02    0.16291E+02    0
    3    4        10   11       -0.34104        116.191        112.626         0.10941E+02    0.10941E+02    0
    3    4        11   12       -0.37289        115.928        110.156         0.73021E+01    0.73021E+01    0
    3    4        12   13       -0.37764        156.888        148.555         0.69193E+01    0.69193E+01    0
    3    4        13   14       -0.35778        173.852        163.057         0.55811E+01    0.55811E+01    0
    3    4        14   15       -0.36538        170.659        156.149         0.41119E+01    0.41119E+01    0
    4    5         6    7       -0.64466         45.118         44.804         0.92271E+02    0.92271E+02    0
    4    5         7    8        0.21428         44.394         44.582         0.50738E+02    0.50738E+02    0
    4    5         8    9        0.34664         62.501         63.193         0.31473E+02    0.31473E+02    0
    4    5         9   10       -0.76038         69.945         67.090         0.18242E+02    0.18242E+02    0
    4    5        10   11       -0.49210         76.998         73.798         0.11592E+02    0.11592E+02    0
    4    5        11   12       -0.46487         78.396         73.627         0.74065E+01    0.74065E+01    0
    4    5        12   13       -0.48630        108.320        100.871         0.68252E+01    0.68252E+01    0
    4    5        13   14       -0.43354        121.287        111.853         0.53544E+01    0.53544E+01    0
    4    5        14   15       -0.41483        119.920        107.680         0.38529E+01    0.38529E+01    0
    4    5        15   16       -0.31292        127.865        115.519         0.30819E+01    0.30819E+01    0
    5    6         7    8       -0.43831         45.805         45.589         0.92476E+02    0.92476E+02    0
    5    6         8    9       -0.31094         60.922         60.621         0.62848E+02    0.62848E+02    0
    5    6         9   10        0.24707         65.883         66.378         0.32995E+02    0.32995E+02    0
    5    6        10   11       -0.10502         76.214         75.811         0.19816E+02    0.19816E+02    0
    5    6        11   12        0.06566         77.456         77.893         0.11660E+02    0.11660E+02    0
    5    6        12   13       -0.17425        110.993        109.159         0.10457E+02    0.10457E+02    0
