x,y,VCP0.32,VCP0.71,VCP1.18,VCP0.32_inph,VCP0.71_inph,VCP1.18_inph,HCP0.32,HCP0.71,HCP1.18,HCP0.32_inph,HCP0.71_inph,HCP1.18_inph
0,0,34.0902222222222,34.67,38.32,1.79,1.9,2.13,33.53,39.77,45.22,2.13,2.27,2.68
1,0,35.3501111111111,36.69,40.16,1.79,1.87,2.13,39.72,43.81,46.76,2.2,2.3,2.72
2,0,36.68,35.79,39.21,1.81,1.87,2.14,36.1,40.63,45.16,2.14,2.29,2.71
3,0,41.9605555555556,34.26,37.43,1.76,1.3,2.12,35.64,39.47,41.97,2.18,2.22,2.63
4,0,29.2504444444444,28.91,33.51,1.79,1.92,2.19,32.46,36.36,40.58,2.23,2.24,2.69
5,0,33.2903333333333,32.37,35.13,1.8,1.87,2.15,34.24,36.81,40.49,2.14,2.25,2.68
6,0,30.4008888888889,29.27,32.33,1.76,1.87,2.15,31.48,34.78,37.62,2.12,2.27,2.68
7,0,28.8907777777778,27.08,29.84,1.78,1.88,2.1,28.95,31.48,34.66,2.13,2.24,2.68
8,0,28.6006666666667,26.46,28.64,1.77,1.86,2.16,28.42,31.79,35.23,2.13,2.27,2.68
9,0,23.5212222222222,21.66,24.65,1.78,1.87,2.11,20.93,25.5,30.48,2.1,2.29,2.7
10,0,23.8711111111111,21.23,24.13,1.72,1.85,2.11,21.76,25.72,30.21,2.14,2.29,2.72
11,0,22.771,20.8,23.53,1.78,1.87,2.11,21.65,24.94,29.86,2.1,2.28,2.72
12,0,26.5015555555556,24.87,27.63,1.73,1.85,2.08,27.66,29.87,34.26,2.13,2.25,2.68
13,0,27.7414444444444,25.61,27.19,1.77,1.86,2.12,26.17,28.03,31.96,2.14,2.28,2.7
14,0,26.6413333333333,23.38,26.1,1.8,1.85,2.13,25.09,27.59,32.31,2.15,2.23,2.72
15,0,22.3018888888889,20.02,23.2,1.81,1.89,2.11,21.55,24.37,30.3,2.12,2.25,2.68
16,0,23.0117777777778,20.51,23.29,1.82,1.82,2.14,21.47,24.23,29.58,2.1,2.33,2.69
17,0,22.9616666666667,20.31,24.02,1.81,1.89,2.13,22.96,26.06,30.65,2.12,2.22,2.67
18,0,23.0522222222222,21.07,23.64,1.8,1.86,2.11,23.82,24,27.85,2.12,2.21,2.65
19,0,24.5021111111111,12.4,23.9,1.8,2.17,2.14,23.7,25.6,28.85,2.08,2.22,2.58
20,0,24.362,21.14,23.73,1.8,1.87,2.12,22.6,24.67,28.28,2.12,2.22,2.66
21,0,21.6625555555555,17.23,18.74,1.82,1.94,2.14,19.4,19.37,21.62,2.1,2.19,2.64
22,0,18.9624444444444,18.28,19.97,1.86,1.9,2.15,19.77,20.23,21.94,2.06,2.22,2.62
23,0,22.4523333333333,19.23,20.75,1.82,1.91,2.14,21.42,21.32,23.53,2.08,2.19,2.58
24,0,17.8428888888889,14.72,15.82,1.92,2.04,2.25,18.17,17.97,19.48,2.04,2.11,2.49
25,0,17.0727777777778,14.23,15.8,1.93,2.05,2.27,17.36,16.34,18.12,2.01,2.09,2.51
26,0,17.5126666666667,14.53,15.81,1.95,2.01,2.27,18.03,17.22,18.78,2.05,2.09,2.49
27,0,18.4632222222222,14.74,16.07,1.84,1.94,2.18,17.86,17.05,18.89,2.1,2.2,2.57
28,0,18.0631111111111,15.45,16.63,1.87,1.95,2.19,16.09,16.13,17.53,2.11,2.2,2.58
29,0,18.963,15.08,15.87,1.85,1.94,2.17,16.09,16.85,18.57,2.1,2.19,2.57
0,1,37.8213333333333,37.98,41.64,1.79,1.9,2.15,39.26,41.6,45.77,2.12,2.26,2.73
1,1,40.6856666666667,39,40.41,1.84,1.9,2.17,46.29,44.11,44,2.16,2.26,2.71
2,1,36.88,36.25,38.77,1.75,1.9,2.06,38.88,40.81,43.86,2.13,2.24,2.91
3,1,35.0183333333333,33.56,36.56,1.81,1.89,2.15,36.11,39.43,43.61,2.16,2.27,2.71
4,1,34.6326666666667,33.53,36.67,1.81,1.91,2.15,36.55,39.47,44.77,2.13,2.25,2.7
5,1,33.117,32.35,35.76,1.83,1.89,2.15,34.85,38.7,42.04,2.12,2.24,2.69
6,1,27.8853333333333,27.66,31.67,1.76,1.85,2.11,30.31,33.27,36.4,2.14,2.27,2.73
7,1,27.5796666666667,21.35,26.79,1.82,1.97,2.24,26.98,30.21,36.41,2.16,2.29,2.72
8,1,27.524,26.07,28.42,1.81,1.89,2.12,28.79,31.29,34.69,2.16,2.28,2.72
9,1,32.1423333333333,29.6,33.47,1.79,1.86,2.42,31.33,35.1,38.22,2.13,2.26,2.75
10,1,28.6266666666667,27.6,30.88,1.77,1.88,2.12,27.55,31.25,36.37,2.16,2.28,2.71
11,1,28.931,27.55,30.91,1.8,1.89,2.17,29.98,32.52,35.55,2.11,2.22,2.67
12,1,25.3493333333333,23,26.16,1.8,1.89,2.14,24.92,27.11,31.5,2.15,2.28,2.69
13,1,23.7136666666667,20.83,24.21,1.83,1.87,2.16,23.03,25.18,30.38,2.12,2.23,2.66
14,1,24.138,21.01,22.89,1.82,1.89,2.16,21.89,23.33,27.62,2.13,2.25,2.71
15,1,75.5663333333333,21,22.93,1.78,1.89,2.13,23.51,22.97,26.96,2.16,2.24,2.64
16,1,22.9606666666667,19.08,21.28,1.8,1.91,2.14,19.85,20.61,24,2.15,2.26,2.68
17,1,22.185,18.47,19.8,1.81,1.91,2.14,20.15,20.68,23.34,2.13,2.25,2.69
18,1,21.8033333333333,19.57,20.9,1.91,1.99,2.2,23.15,22.2,22.6,2.05,2.11,2.52
19,1,19.3476666666667,16.09,17.82,1.9,2.03,2.22,20.8,19.39,21.59,2.08,2.16,2.53
20,1,18.282,14.87,16.47,1.96,2.04,2.25,18.89,17.54,19.13,2.05,2.09,2.49
21,1,23.2803333333333,19.3,20.93,1.8,1.88,2.13,21.2,22.44,24.5,2.09,2.19,2.57
