x,Latitude,Longitude,Altitude,Date,Time,DOP,Satelites,HCP0.20,HCP0.20_inph,HCP0.20_err,HCP0.33,HCP0.33_inph,HCP0.33_err,HCP0.50,HCP0.50_inph,HCP0.50_err,HCP0.72,HCP0.72_inph,HCP0.72_err,HCP1.03,HCP1.03_inph,HCP1.03_err,HCP1.50,HCP1.50_inph,HCP1.50_err,VCP0.20,VCP0.20_inph,VCP0.20_err,VCP0.33,VCP0.33_inph,VCP0.33_err,VCP0.50,VCP0.50_inph,VCP0.50_err,VCP0.72,VCP0.72_inph,VCP0.72_err,VCP1.03,VCP1.03_inph,VCP1.03_err,VCP1.50,VCP1.50_inph,VCP1.50_err
0,5059.1292N,00346.2140E,17.7,01-07-00,31:54.2,1.1,8,6.75,2.82,0,6.77,3.16,0.1,8.8,3.62,0.1,10.59,3.81,0.2,13.76,4.43,0,17.47,5.48,0.7,6.95,2.73,0.2,5.88,3,0.3,7.01,3.6,0.3,7.75,4.55,0.1,9.23,4.07,0,11.58,4.97,0.6
1,5059.1295N,00346.2136E,17.5,01-07-00,32:02.4,1.1,8,6.63,2.83,0.1,6.52,3.17,0.3,7.92,3.66,0,10.56,3.83,0,13.71,4.43,0.1,17.58,5.46,0.6,7.02,2.71,0.4,5.89,2.95,0.1,8.61,3.57,0.1,7.64,4.5,0,9.1,4.04,0,11.17,4.91,0.2
2,5059.1300N,00346.2130E,17.5,01-07-00,32:08.2,1.1,8,6.68,2.84,0,6.39,3.19,0.1,8.58,3.64,0,10.27,3.81,0.2,13.54,4.44,0.2,17.54,5.49,0.5,6.7,2.72,0,5.65,2.98,0.1,7,3.61,0.4,7.45,4.51,0.1,8.97,4.05,0.4,11.11,4.95,0.1
3,5059.1307N,00346.2127E,17.4,01-07-00,32:15.6,1.1,8,6.41,2.82,0,6.37,3.16,0,8.57,3.63,0,10.14,3.82,0,13.27,4.42,0.3,17.1,5.47,0.5,7.07,2.72,0.1,5.78,2.99,0,6.94,3.61,0.3,7.43,4.52,0.4,8.9,4.06,0.4,11.05,4.96,0
4,5059.1315N,00346.2121E,17.7,01-07-00,32:22.8,1.1,8,6.48,2.82,0.2,6.27,3.16,0.1,8.47,3.61,0.2,10.06,3.78,0,13.23,4.44,0.4,17.37,5.48,0,6.45,2.72,0.2,5.36,2.98,0,6.64,3.6,0.3,7.3,4.52,0.2,8.74,4.04,0,10.87,4.92,0.7
5,5059.1318N,00346.2118E,17.6,01-07-00,32:29.6,1.1,8,6.5,2.82,0,6.3,3.15,0.1,8.27,3.62,0.2,9.85,3.81,0.2,13.04,4.43,0.6,17.25,5.48,0,6.55,2.72,0,5.39,2.98,0,6.64,3.62,0.8,7,4.5,0,8.59,4.05,0.4,10.74,4.94,0.2
6,5059.1324N,00346.2114E,17.7,01-07-00,32:40.8,1.1,8,6.29,2.81,0.1,6.08,3.16,0,8.19,3.63,0.2,9.85,3.82,0.2,13.17,4.42,0.3,17.21,5.46,0.5,6.36,2.72,0,5.24,2.99,0.2,6.62,3.63,0.2,7,4.52,0.1,8.62,4.08,0.4,10.8,4.99,0.4
7,5059.1327N,00346.2114E,17.4,01-07-00,33:17.3,1.3,7,6.08,2.82,0.1,5.88,3.18,0.1,8.12,3.63,0.2,8.88,3.86,0,13.08,4.43,0.2,17.26,5.45,0.9,6.37,2.72,0.1,5.22,2.98,0.2,6.63,3.62,0.3,8.02,4.41,0,8.56,4.03,0,10.75,4.95,0.1
8,5059.1332N,00346.2110E,17.3,01-07-00,33:23.5,1.1,8,6.03,2.79,0.1,5.89,3.13,0,8.03,3.61,0.2,9.73,3.79,0.2,13.15,4.4,0.1,17.47,5.47,0.8,5.68,2.74,0,4.86,2.99,0.1,6.35,3.63,0.3,6.78,4.51,0.2,8.36,4.05,0.6,10.53,4.95,0.3
9,5059.1337N,00346.2107E,17.2,01-07-00,33:29.6,1.1,8,5.98,2.84,0.2,5.94,3.2,0.4,8.04,3.64,0.3,9.88,3.83,0,13.24,4.41,0,17.42,5.46,0.6,6.48,2.71,0,5.16,2.97,0.2,6.19,3.6,0.1,6.82,4.54,0.2,8.46,4.08,0,10.73,4.99,0.3
10,5059.1340N,00346.2104E,17.1,01-07-00,33:35.6,1.1,8,6.38,2.81,0.1,5.75,3.16,0.2,7.89,3.62,0.3,9.71,3.81,0.1,13.33,4.4,0.2,17.34,5.43,0.4,6.08,2.73,0,5.02,2.99,0.2,6.54,3.65,0,6.93,4.53,0.1,8.47,4.07,0.2,10.64,4.98,0.7
11,5059.1343N,00346.2103E,17.1,01-07-00,33:41.6,1.1,8,6.13,2.81,0,5.98,3.16,0.2,8.05,3.63,0,9.87,3.82,0,13.22,4.41,0,17.19,5.44,0.2,5.94,2.73,0.2,4.83,3,0.2,6.29,3.63,0,6.87,4.54,0,8.49,4.07,0.1,10.79,4.99,0.7
12,5059.1346N,00346.2100E,17.1,01-07-00,33:47.0,1.1,8,6.2,2.82,0.2,5.97,3.17,0.1,8.09,3.65,0.1,9.93,3.82,0.2,13.24,4.42,0.1,16.92,5.52,0.5,6.17,2.72,0,5.06,2.99,0.3,6.54,3.63,0.1,6.99,4.53,0.4,8.59,4.07,0.4,11.49,4.76,0.2
13,5059.1348N,00346.2098E,17,01-07-00,33:54.7,1.1,8,6.17,2.81,0,6.13,3.17,0.3,8.97,3.6,0,7.47,3.98,0.2,13.22,4.43,0.3,17.3,5.44,0.1,5.99,2.73,0,5.5,2.98,0,11.9,3.46,0.2,10.68,4.27,0.1,8.87,4.01,0,10.79,4.97,0.8
14,5059.1350N,00346.2096E,16.8,01-07-00,34:00.8,1.1,8,5.8,2.82,0.1,5.93,3.17,0.1,7.95,3.64,0.1,9.74,3.86,0,13.13,4.43,0.2,17.14,5.44,0,6.15,2.72,0.4,4.99,2.99,0.1,6.54,3.64,0,6.89,4.49,0.2,8.51,4.05,0.5,10.68,4.98,0.3
15,5059.1352N,00346.2093E,16.6,01-07-00,34:08.1,1.1,8,6.12,2.81,0.1,5.8,3.18,0.2,7.91,3.66,0.2,9.68,3.83,0,13.11,4.41,0.2,17.01,5.46,0.7,5.85,2.72,0.1,4.93,2.98,0.3,6.48,3.63,0,6.75,4.52,0.2,8.43,4.06,0.3,10.65,4.97,0
16,5059.1356N,00346.2091E,16.6,01-07-00,34:13.7,1.2,7,6.05,2.82,0,6,3.17,0.2,8.03,3.64,0.1,9.78,3.83,0,13.15,4.42,0.2,16.96,5.43,0.1,6.17,2.71,0,5.03,2.98,0.2,6.58,3.64,0,6.89,4.52,0.3,8.43,4.07,0.2,10.65,4.98,0.8
17,5059.1359N,00346.2089E,16.5,01-07-00,34:20.9,1.1,8,6.13,2.83,0.2,6.04,3.17,0,8.09,3.64,0.2,9.77,3.83,0,13.04,4.41,0,17.14,5.42,0.7,6.16,2.71,0,4.94,2.98,0,6.17,3.6,0.4,6.84,4.54,0.1,8.32,4.06,0.4,10.44,4.96,0.2
18,5059.1364N,00346.2085E,16.5,01-07-00,34:27.1,1.1,8,5.88,2.83,0.1,5.72,3.18,0.3,7.9,3.65,0.3,9.67,3.84,0.3,13,4.42,0.3,16.94,5.44,0.6,5.97,2.72,0.1,4.89,2.98,0.1,6.23,3.62,0.4,6.71,4.53,0.3,8.2,4.05,0.1,10.32,4.98,0.6
19,5059.1369N,00346.2083E,16.6,01-07-00,34:35.3,1.1,8,5.68,2.82,0.1,5.76,3.17,0.1,7.71,3.66,0,9.38,3.87,0.1,12.82,4.44,0.1,16.78,5.46,0.4,6.65,2.72,0,5,2.98,0,6.28,3.62,0.1,6.57,4.5,0.2,8.11,4.05,0.3,10.21,4.96,0.8
20,5059.1374N,00346.2080E,16.6,01-07-00,34:40.9,1.1,8,5.62,2.82,0.1,5.59,3.18,0.1,7.65,3.64,0.2,9.44,3.83,0.1,12.76,4.47,0.4,16.56,5.44,0.4,5.69,2.72,0.4,4.65,2.98,0.2,5.88,3.61,0.2,6.59,4.54,0,8.09,4.01,0.3,9.99,4.97,0
22,5059.1380N,00346.2074E,16.7,01-07-00,35:07.4,1.1,8,5.36,2.83,0,5.26,3.18,0.4,7.37,3.66,0.1,9.08,3.84,0,12.34,4.4,0.5,16.63,5.39,0.1,5.7,2.7,0.1,4.51,2.97,0,5.73,3.6,0.2,6.37,4.53,0.2,7.88,4.04,0,9.97,4.98,0
23,5059.1394N,00346.2071E,17.4,01-07-00,35:12.5,1.1,8,5.42,2.84,0,5.46,3.19,0.1,7.39,3.65,0.1,9,3.85,0.3,12.18,4.41,0.5,16.17,5.39,0.1,5.49,2.71,0.2,4.41,2.97,0.2,5.86,3.62,0.8,6.28,4.52,0.2,7.77,4.06,0.2,9.78,4.97,0.9
24,5059.1399N,00346.2068E,17.4,01-07-00,35:18.5,1.1,8,5.87,2.83,0,5.48,3.18,0,7.29,3.66,0,8.93,3.85,0,12.19,4.4,0.4,16.19,5.41,0.2,5.68,2.71,0.1,4.57,2.97,0.1,5.77,3.62,0.6,6.28,4.54,0,7.75,4.06,0.7,9.91,4.96,0.7
25,5059.1400N,00346.2066E,17.3,01-07-00,35:27.3,1.1,8,6.18,2.82,0.2,4.71,3.17,0.8,7.13,3.64,0,8.3,3.89,0,12.03,4.39,0.2,15.87,5.4,0.5,5.97,2.69,0.1,4.51,3.01,0.5,5.69,3.65,0.1,6.39,4.53,0.3,7.73,4.06,0.7,9.85,4.97,0.5
26,5059.1406N,00346.2062E,17.2,01-07-00,35:33.0,1.1,8,5.4,2.82,0,5.21,3.16,0.2,7.23,3.64,0,8.93,3.83,0.2,11.92,4.41,0,15.66,5.41,0,5.77,2.71,0,4.61,2.97,0.5,5.92,3.61,0.3,6.46,4.52,0.1,7.74,4.04,0,9.85,4.95,0.2
27,5059.1411N,00346.2058E,17.2,01-07-00,35:41.7,1.1,8,5.78,2.83,0.2,5.6,3.18,0,7.45,3.67,0.3,8.9,3.86,0.1,11.93,4.43,0,15.69,5.4,0.4,5.68,2.7,0.2,4.56,2.96,0.1,5.78,3.59,0.1,6.41,4.52,0.2,7.81,4.03,0.4,9.68,4.94,0.9
29,5059.1422N,00346.2049E,17.1,01-07-00,36:03.1,1.1,8,5.94,2.81,0,5.44,3.18,0.3,7.11,3.66,0.1,8.55,3.86,0.4,11.38,4.42,0.8,15.03,5.34,0.2,5.74,2.71,0,4.68,2.97,0.1,5.99,3.62,0,6.13,4.51,0.2,7.49,4.04,0.3,9.27,4.95,0.7
