latitude,longitude,elevation,Date,Time,DOP,Satelites,HCP0.20,HCP0.20_inph,HCP0.33,HCP0.33_inph,HCP0.50,HCP0.50_inph,HCP0.72,HCP0.72_inph,HCP1.03,HCP1.03_inph,HCP1.50,HCP1.50_inph,Note,x,y,lat,lon
5059.1841N,00346.2097E,19.7,01/07/2000,09:29:58.83,2.0,5,8.951811004694685,2.77,10.652587302800274,3.14,7.065531415879874,3.14,15.987012987295872,2.88,23.559029571236135,4.94,31.98366024354999,8.03,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:29:59.35,2.0,5,8.960001133701724,2.77,10.652587302800274,3.14,7.017302532495029,3.15,16.0264286997892,2.88,23.551325506628142,4.94,31.791255068554083,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:29:59.80,2.0,5,8.951811004694685,2.77,10.644461759472431,3.14,7.025340679725836,3.14,15.923947847306538,2.87,23.474284860548234,4.93,31.946659248358475,8.1,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:00.33,2.0,5,8.968191262708762,2.77,10.644461759472431,3.14,7.065531415879874,3.14,16.01066241479187,2.88,23.54362144202015,4.94,32.02806143777981,8.13,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:00.85,2.0,5,8.935430746680606,2.77,10.644461759472431,3.14,6.985149943571798,3.14,15.931830989805201,2.88,23.443468602116273,4.94,32.02066123874151,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:01.30,2.0,5,8.943620875687643,2.77,10.63633621614459,3.14,7.033378826956644,3.14,15.963363559799868,2.88,23.49739705437221,4.94,31.843056461822215,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:01.83,2.0,5,8.951811004694685,2.77,10.644461759472431,3.14,7.041416974187452,3.14,15.979129844797203,2.88,23.53591737741216,4.94,31.917058452205257,8.08,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:02.35,2.0,5,8.951811004694685,2.77,10.63633621614459,3.14,7.017302532495029,3.14,15.963363559799868,2.88,23.505101118980196,4.93,31.835656262783917,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:02.80,2.0,5,8.951811004694685,2.77,10.644461759472431,3.14,7.065531415879874,3.14,16.01854555729054,2.88,23.636070217316046,4.94,31.976260044511687,8.1,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:03.33,2.0,5,8.951811004694685,2.77,10.63633621614459,3.14,7.033378826956644,3.14,15.97124670229854,2.87,23.512805183588192,4.94,31.92445865124356,8.07,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:03.85,2.0,5,8.919050488666523,2.77,10.603834042833226,3.14,6.969073649110184,3.14,15.892415277311871,2.87,23.435764537508284,4.93,31.702452680094446,8.07,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:04.30,2.0,5,8.943620875687643,2.77,10.644461759472431,3.13,7.017302532495029,3.14,15.947597274802536,2.87,23.512805183588192,4.93,31.717253078171048,8.08,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:04.83,2.0,5,8.951811004694685,2.77,10.660712846128115,3.14,7.057493268649067,3.14,16.01854555729054,2.88,23.636070217316046,4.94,32.05766223393303,8.1,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:05.35,2.0,5,8.951811004694685,2.77,10.660712846128115,3.14,6.993188090802605,3.14,16.01066241479187,2.88,23.636070217316046,4.93,32.03546163681812,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:05.80,2.0,5,8.943620875687643,2.77,10.63633621614459,3.14,7.025340679725836,3.14,15.987012987295872,2.88,23.551325506628142,4.93,32.04286183585643,8.1,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:06.33,2.0,5,8.943620875687643,2.77,10.644461759472431,3.13,7.049455121418259,3.14,15.97124670229854,2.88,23.559029571236135,4.94,32.04286183585643,8.04,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:06.78,2.0,5,8.960001133701724,2.77,10.668838389455958,3.14,7.08160771034149,3.14,16.0500781272852,2.88,23.58214176506011,4.94,31.976260044511687,8.11,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:07.30,2.0,5,8.943620875687643,2.77,10.644461759472431,3.13,7.033378826956644,3.14,15.994896129794538,2.88,23.58214176506011,4.93,32.109463627201166,8.05,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:07.83,2.0,5,8.951811004694685,2.77,10.63633621614459,3.14,7.041416974187452,3.14,15.994896129794538,2.88,23.551325506628142,4.93,32.05766223393303,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:08.28,2.0,5,8.960001133701724,2.77,10.63633621614459,3.14,7.049455121418259,3.14,16.002779272293203,2.87,23.58214176506011,4.93,32.04286183585643,8.11,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:08.80,2.0,5,8.927240617673565,2.77,10.611959586161069,3.14,6.985149943571798,3.14,15.947597274802536,2.88,23.481988925156227,4.94,31.946659248358475,8.11,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:09.33,2.0,5,8.968191262708762,2.77,10.63633621614459,3.14,7.033378826956644,3.14,15.987012987295872,2.88,23.589845829668104,4.93,31.93925904932017,8.1,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:09.78,2.0,5,8.943620875687643,2.77,10.63633621614459,3.14,7.049455121418259,3.14,16.002779272293203,2.87,23.589845829668104,4.93,31.909658253166945,8.09,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
5059.1841N,00346.2097E,19.7,01/07/2000,09:30:10.30,2.0,5,8.927240617673565,2.77,10.628210672816751,3.14,6.961035501879376,3.14,15.939714132303866,2.87,23.481988925156227,4.94,31.798655267592387,8.08,,554057.3941698893,5648595.006833749,50.986401666666666,3.7701616666666666
