x,y,VCP1.48f10000h0.2,VCP2.82f10000h0.2,VCP4.49f10000h0.2,HCP1.48f10000h0.2,HCP2.82f10000h0.2,HCP4.49f10000h0.2,depth,dist,Z(m),Stage(m),H20cm(m),H50cm(m),H100cm(m),elevation,,,,,,,,,,,,,
358760.84389,524371.26319,40.9951146172082,29.7788549812327,23.6999095963624,25.8245420672641,18.3142590718141,16.4079931292739,0.7691437309,0.137492165877068,109.14,109.99,110,110.06,110.17,109.9091437309,-0.7691437309,25,25,24,22,21,19,17,15,13,11,10,8
358760.85515,524371.25853,40.9506225651028,29.6884853508521,23.6693982222207,25.8838898207311,18.3152749268746,16.4214862268252,0.7818552497,0.168426196468476,109.14,109.99,110,110.06,110.17,109.9218552497,-0.7818552497,25,25,24,22,21,19,17,15,13,11,10,8
358760.87191,524371.25515,40.9064812663845,29.5982027252704,23.6389327558601,25.928157419076,18.2737608139697,16.3520509027784,0.7823853211,0.198853872979676,109.14,109.99,110,110.06,110.17,109.9223853211,-0.7823853211,25,25,24,22,21,19,17,15,13,11,10,8
358760.88951,524371.25009,40.8953335939231,29.5832205917722,23.6445979580146,25.9533139716787,18.2423631383492,16.2999556432791,0.7756778797,0.231135699752008,109.149,109.99,109.999,110.058,110.17,109.9246778797,-0.7756778797,25,25,24,22,20,19,17,15,13,11,9,8
358760.90691,524371.24604,40.8894317423761,29.5602132065877,23.6445116488375,25.9895398667292,18.2180593871371,16.2478688188555,0.778501529,0.264422567773118,109.158,109.99,109.998,110.056,110.17,109.936501529,-0.778501529,25,25,24,22,21,19,17,15,13,11,9,8
358760.92508,524371.24398,40.902938334521,29.5462199586451,23.6450337629208,26.0529437128851,18.1876754990054,16.2006036431242,0.7763812436,0.299678210581287,109.167,109.99,109.997,110.054,110.17,109.9433812436,-0.7763812436,25,25,24,22,20,19,17,15,13,11,9,8
358760.94321,524371.23691,40.8846908830637,29.5173964515782,23.6472679606009,26.1254101216917,18.1653947505242,16.1668362995259,0.774617737,0.335844097646488,109.176,109.99,109.996,110.052,110.17,109.950617737,-0.774617737,25,24,23,22,20,19,17,15,13,11,9,8
358760.96934,524371.23445,40.8361474465885,29.4304071788344,23.613710124032,26.2149642619897,18.179568188112,16.1793642853383,0.7702038736,0.380919417021931,109.185,109.99,109.995,110.05,110.17,109.9552038736,-0.7702038736,25,24,23,22,20,19,17,15,13,11,9,8
358761.00405,524371.22735,40.8109094718099,29.3429578153045,23.5867363823587,26.2783566061577,18.2180401575823,16.2188368388258,0.7679102957,0.434442870090514,109.194,109.99,109.994,110.048,110.17,109.9619102957,-0.7679102957,26,25,24,22,21,19,17,15,13,11,9,8
358761.04379,524371.19372,40.6985598656746,29.215950247856,23.5403508206,26.3115840509869,18.2332380156308,16.2226949160676,0.7654332314,0.513826476366381,109.203,109.99,109.993,110.046,110.17,109.9684332314,-0.7654332314,25,25,24,22,21,19,17,15,13,11,9,8
