Easting (m),Northing (m),VCP1.48,VCP2.82,VCP4.49,HCP1.48,HCP2.82,HCP4.49,Depth (m)
358857.278,524391.9552,29.1021072395956,20.7669472360663,16.9327454309048,16.3135877485574,9.41361773193139,8.36882127005064,0.347400612
358857.2626,524391.9201,29.0937417865481,20.7647424404361,16.9315476929149,16.3036947406245,9.41361773193139,8.43233811487311,0.319164118
358857.3153,524391.9103,29.0991837747287,20.7656658200957,16.9316043565653,16.4422384790113,9.43313060216031,8.33251996830017,0.324464832
358857.244,524391.9981,29.1049022316908,20.7681427264835,16.9337778276306,16.7392263957436,9.69673082363813,8.5504709962802,0.319164118
358857.2883,524391.9013,29.093742422503,20.7644346345664,16.9311159759678,16.5115196261179,9.53071580698744,8.31435695026831,0.306829766
358857.3272,524391.8026,29.0796518770118,20.7600061371576,16.9280067990433,16.4323286608974,9.41361773193139,8.44146685894123,0.291029562
358857.3003,524391.8047,29.0763983257247,20.7594193269033,16.9279521001761,16.541194942699,9.44288239021516,8.54136704102508,0.299796126
358857.2517,524391.8998,29.0885736101147,20.7634144379719,16.9308339158521,16.6599912236285,9.66742736066838,8.29623597537258,0.313863405
358857.279,524391.8216,29.0770149772117,20.7598359632679,16.9284592246235,16.5016097094151,9.51117125533852,8.11497323507438,0.269928644
358857.353,524391.795,29.0817234313994,20.7602553840829,16.9278730063076,16.3531582377664,9.45261624803349,8.14214864631184,0.308664628
358857.3424,524391.8192,29.085237849705,20.7613820397528,16.9287001645899,16.5115196261179,9.38433739003072,8.24181307261397,0.275229358
358857.4376,524391.6273,29.0550520940234,20.7515529764899,16.9217431699059,16.5708613185217,9.34531591656468,8.10589196080116,0.326197757
358857.5265,524391.467,28.7480274189015,20.6187093710096,16.801124206529,16.5213920988232,9.24782425522292,7.8888203113495,0.289296636
358857.524,524391.4244,28.7384049832312,20.6163257537782,16.8001851035392,16.7589966936958,9.41361773193139,7.97921704748325,0.268195719
358857.5002,524391.2892,28.7021851531667,20.6076809097169,16.7970378292745,16.6302871739701,9.37456824018145,7.76237504667963,0.299796126
358857.4599,524391.2413,28.6844908190966,20.6036935659003,16.7957750640838,16.7094824390266,9.23806354697752,7.54599758793679,0.370234455
358857.4434,524391.0783,28.6357387729182,20.5926970378877,16.7922786918961,16.897676684994,9.27706158739884,7.62704619334922,0.331498471
358857.3298,524391.1386,28.6460243802768,20.5951929883723,16.7932697154109,16.8877329269157,9.23806354697752,7.59101443759202,0.340366972
358857.2371,524391.0115,28.6097411627468,20.587101562544,16.7908869227007,16.7788262857263,9.13090139350651,7.44694855830734,0.357900102
358857.1709,524390.9435,28.5932709195491,20.5832934597894,16.7896771871068,16.8877329269157,9.16987072133563,7.45594974880815,0.350866463
358857.1226,524390.8456,28.2563092021883,20.4500240089308,16.6971078793965,16.7491065711043,9.08217661342481,7.32102209892955,0.354434251
358857.0563,524390.7795,28.2482237184434,20.4465645106565,16.6944812697483,16.7886910836042,9.0529361873727,7.31199966099324,0.384301733
358856.9444,524390.6599,28.2381397559394,20.4409042364499,16.6895164404152,16.8580381643055,9.17958937419587,7.26707871407658,0.389602446
358856.895,524390.5584,28.2309639646486,20.4369291849921,16.6861053871712,16.5213920988232,8.85827477693283,7.07859512896619,0.354434251
358856.7923,524390.3887,27.4988464015802,20.3412496028596,16.6289192471988,16.4125558263037,8.93614129951805,7.04273413378867,0.421304791
358856.7897,524390.1068,27.488385617591,20.3370811664876,16.6216815090186,16.4521436939525,8.71243176767118,6.99791542773949,0.398470948
358856.7542,524389.9829,27.4721838683362,20.3333465588927,16.6161208350251,16.1355581463887,8.60550325793946,6.97101357554989,0.315698267
358856.7375,524389.6918,26.619313479729,20.2649626440598,16.6018303349116,15.8092584437916,8.55693412923805,6.756208912849,0.525280326
358856.8089,524389.1366,26.2621402086241,20.2085529234343,16.489563682659,15.8389096783514,8.43069743095177,6.73833224062745,0.50764526
358856.8682,524388.7874,25.9025735138264,20.1881339335306,16.486605976156,15.572109746503,8.39188466410143,6.52400943840995,0.490010194
