x,y,VCP1.48f10000h0.2,VCP2.82f10000h0.2,VCP4.49f10000h0.2,HCP1.48f10000h0.2,HCP2.82f10000h0.2,HCP4.49f10000h0.2,depth,distance0,distance,dist,Z.m.,Stage(m),H20cm(m),H50cm(m),H100cm(m),elevation
358760.84389,524371.26319,39.6262533970978,27.3337303443141,21.8867314600575,24.442437092521,16.3937772273984,14.4703000763564,0.77,0.022335468157347,0.129946831222452,0,109.14,109.99,110,110.06,110.17,109.9091437309
358760.85515,524371.25853,39.6683171952129,27.3928654880824,21.9126087001359,24.4313434877166,16.362364663819,14.4216712449248,0.77,0.024482238491379,0.142616985285864,0.030936196468476,109.14,109.99,110,110.06,110.17,109.9218552497
358760.87191,524371.25515,39.7474783468673,27.5073053183915,21.990911107167,24.5456421963614,16.3246036822164,14.3169664670345,0.77,0.032079905534078,0.197785726559957,0.061363872979676,109.14,109.99,110,110.06,110.17,109.9223853211
358760.88951,524371.25009,39.6390799933832,27.3119132918129,21.9354395770537,24.6176756248088,16.342515605931,14.2895126969559,0.77,0.043232452040295,0.234691011894551,0.093645699752008,109.149,109.99,109.999,110.058,110.17,109.9246778797
358760.90691,524371.24604,39.5508637057411,27.1581398748897,21.8987381690909,24.7574979798349,16.3730884996295,14.2610323113538,0.77,0.053488793694038,0.274465116766927,0.126932567773118,109.158,109.99,109.998,110.056,110.17,109.936501529
358760.92508,524371.24398,39.5504223820374,27.1668568880482,21.8990224525952,24.7830340547029,16.3183335147357,14.2702379485716,0.772,0.037462718490047,0.290183671375761,0.162188210581287,109.167,109.99,109.997,110.054,110.17,109.9433812436
358760.94321,524371.23691,39.4832659218091,27.0326136824684,21.8519723797564,24.8335498749447,16.2907732677932,14.2623327985075,0.771,0.033584920305097,0.330594804917436,0.198354097646488,109.176,109.99,109.996,110.052,110.17,109.950617737
358760.96934,524371.23445,39.4802114064407,27.0167506672677,21.8438683833333,24.8783500558832,16.230194175274,14.1822648624059,0.768,0.031634515167084,0.359719435754924,0.243429417021931,109.185,109.99,109.995,110.05,110.17,109.9552038736
358761.00405,524371.22735,39.4743029878332,26.9578217427027,21.8117307786401,25.0372896592822,16.2200696417122,14.1915136679837,0.764,0.036917099623934,0.453076438267638,0.296952870090514,109.194,109.99,109.994,110.048,110.17,109.9619102957
358761.04379,524371.19372,39.4005981826936,26.9218202527015,21.8078279701213,25.0516962922734,16.2266001982006,14.2213938787733,0.759,0.040105149968546,0.469685204027155,0.376336476366381,109.203,109.99,109.993,110.046,110.17,109.9684332314
358761.08759,524371.14469,39.419735302915,26.9378436715664,21.8138503178667,25.0353673392828,16.2534748759999,14.2356987516788,0.755,0.056368279572048,0.493642721109514,0.471594541463335,109.212,109.99,109.992,110.044,110.17,109.9721427115
358761.13117,524371.07151,39.3487648593072,26.9249128985026,21.8139962612859,25.0567051580047,16.3421164670982,14.3054802822921,0.751,0.119819250570617,0.654148742623005,0.588085745478731,109.223,109.991,109.991,110.042,110.17,109.977841998
358761.18553,524370.97754,39.0657263057394,26.807346833772,21.7501593169115,25.0621937849336,16.3906149833583,14.3454185689473,0.747,0.177411287095307,0.841624897108684,0.72613308360258,109.248,109.992,109.99,110.039,110.169,109.999304791
358761.25243,524370.8642,38.8204059163681,26.7195803969522,21.689499363601,25.0635507769118,16.4057507711326,14.3714561062968,0.744,0.210749369071828,1.03835087148325,0.88706296414665,109.264,109.993,109.99,110.038,110.168,110.0119510703
358761.32977,524370.7284,38.5176390749032,26.6168424476709,21.6050938896983,24.9581272181283,16.3651171169571,14.3713392391366,0.741,0.226597189468246,1.23557879100032,1.06869775031984,109.28,109.994,109.99,110.037,110.167,110.0230071356
358761.41431,524370.56672,38.2584821721604,26.5015304351527,21.5625649606705,24.9799903977289,16.3249388419189,14.3653047532869,0.738,0.24604051918921,1.45445728682986,1.27160103685223,109.296,109.995,109.99,110.036,110.166,110.0354699286
358761.5029,524370.37696,38.0439655448399,26.4184402516961,21.5495211613155,24.921005500721,16.2382646052669,14.4088147000701,0.735,0.246514317998615,1.68637720993789,1.50249838249632,109.316,109.994,109.99,110.035,110.165,110.0535229357
358761.59068,524370.14581,37.9057256344189,26.3675679014828,21.5495012091638,24.8447170010026,16.1296214477609,14.3847619162471,0.732,0.267342496312654,1.94789015163394,1.75733873718697,109.34,109.993,109.989,110.033,110.164,110.0761060142
358761.67573,524369.8872,37.7951609415057,26.3187079396133,21.5358850026781,24.7637893944943,16.0645901786841,14.452432928153,0.731,0.261800519584449,2.20771832230022,2.03243871851216,109.364,109.992,109.988,110.031,110.163,110.0965790009
358761.77243,524369.61869,37.6966804777369,26.2736380268485,21.4791866195893,24.6791716325082,15.9577484095118,14.447925323092,0.731,0.265100436645502,2.4845814652236,2.32053553040513,109.395,109.991,109.987,110.029,110.162,110.125285423
358761.87464,524369.32932,37.5911861133992,26.1954817488764,21.4291066423109,24.6761569514603,15.9481498487614,14.5125425657703,0.731,0.305578163465105,2.8045428915554,2.63019743772966,109.426,109.99,109.986,110.027,110.161,110.1536350663
358761.98746,524369.03441,37.4663764458594,26.0823423135667,21.3791159005867,24.4977127575113,15.857643687867,14.4359163737989,0.733,0.336574420533533,3.1354804190081,2.948152631413,109.455,109.988,109.985,110.025,110.16,110.1865188583
358762.10353,524368.72923,37.3604841324847,25.9947299788384,21.2965268578107,24.478684890476,15.8569729520992,14.5078764688576,0.733,0.328490140323977,3.35605579835834,3.2765970367023,109.485,109.986,109.984,110.024,110.159,110.2255300714
358762.21781,524368.41772,37.1745989698344,25.8345746412615,21.1399360395226,24.327005209747,15.8578388581266,14.5074903633298,0.728,0.370990820649192,3.81256862325351,3.60999938260393,109.515,109.984,109.983,110.023,110.158,110.2452956168
358762.33639,524368.09326,37.0391317392636,25.7223071528676,21.0811088844966,24.1945274615308,15.8330225474728,14.5111344789422,0.723,0.386392088845201,4.16745386419008,3.95695030127351,109.545,109.982,109.982,110.022,110.157,110.2705249746
358762.45719,524367.76477,36.9085832119989,25.6224775034506,21.0673401558209,24.0465808876232,15.8070207892485,14.5205527456436,0.717,0.389335125483244,4.50912529623638,4.30847405808704,109.577,109.98,109.981,110.021,110.156,110.2986411826
358762.58617,524367.43644,36.8029396417612,25.5560858633579,21.0849604358121,23.8775029523821,15.7473533179565,14.3906506850436,0.713,0.355040608703649,4.74252735717124,4.66241344386381,109.605,109.98,109.98,110.02,110.155,110.316406728
358762.72383,524367.1147,36.5768720343671,25.4432317225783,21.0203061484213,23.7256666437126,15.6568968316931,14.3033351147204,0.707,0.356957683718311,5.09061433613453,5.01357116342295,109.648,109.98,109.98,110.02,110.154,110.3583465853
358762.86599,524366.79147,36.2881842407218,25.3566218167088,20.9600451746227,23.6143931055739,15.6429198169307,14.3663614795256,0.697,0.349522388091911,5.44483529161091,5.36755760961757,109.691,109.98,109.98,110.02,110.153,110.3962191643
358763.00847,524366.46735,35.8847912184044,25.2666702340805,20.9165347471248,23.4549716172351,15.5775279322837,14.377835119701,0.688,0.335602592268271,5.91238299179127,5.7224869507417,109.729,109.98,109.98,110.02,110.152,110.4174607545
358763.15924,524366.15495,35.5932173863897,25.1587778495701,20.8653175658413,23.4173101341193,15.5367421721829,14.3976983853205,0.68,0.328221339983235,6.26529758201469,6.07019191302104,109.767,109.98,109.98,110.02,110.151,110.4536972478
358763.31242,524365.83585,35.4578730056999,25.0558418506657,20.7953752924514,23.3439682796423,15.407959278819,14.3798149426686,0.667,0.332219698220116,6.50669356423956,6.42499779377594,109.807,109.979,109.98,110.02,110.148,110.4843394496
358763.46612,524365.51563,35.055720451626,24.8688794409779,20.6560982126121,23.2115487529554,15.2304605491934,14.2571184320113,0.658,0.347482854186661,6.97334583747995,6.78103614964124,109.832,109.978,109.98,110.02,110.146,110.4853333334
358763.61894,524365.19231,34.8295452378179,24.773105570372,20.6046167059831,23.0895925648899,15.1236922251437,14.2062480395995,0.659,0.3699471760792,7.20903386238042,7.13967815763812,109.854,109.977,109.98,110.02,110.144,110.5085667687
358763.7688,524364.863,34.4167965389091,24.6288809625845,20.5148811310168,22.8784444854354,14.9533233239045,14.1600372031703,0.658,0.380049408701565,7.7033666967763,7.50293064406178,109.876,109.976,109.98,110.02,110.142,110.5397512743
358763.91287,524364.52507,34.1418292436681,24.5319895291974,20.4527912308924,22.6987684568695,14.8724398532153,14.1825317068889,0.656,0.383289471318107,8.07833001504156,7.87291585564065,109.896,109.975,109.98,110.02,110.14,110.5560509685
358764.0493,524364.17496,33.9870102879877,24.4616499672096,20.4037911852352,22.6159135148035,14.842067275779,14.2066759221786,0.65,0.37993980575001,8.31436985046143,8.25241461664576,109.915,109.973,109.98,110.02,110.137,110.5724108054
358764.17797,524363.8118,33.8545036360588,24.3233317687787,20.3161773993182,22.4611033555941,14.7902389886655,14.2984684886061,0.646,0.380538191983976,8.84838012002043,8.64119397044182,109.915,109.971,109.98,110.02,110.134,110.562359837
358764.30515,524363.43875,33.8645525154826,24.2743051397286,20.2891614704622,22.3832250788777,14.8004553588133,14.3623818107112,0.647,0.389220092475966,9.10147746515502,9.03891592235084,109.919,109.969,109.979,110.02,110.131,110.5624862386
358764.43104,524363.0657,33.7389567444527,24.1984663141146,20.266048209361,22.2497524948653,14.8335682702567,14.5766755658967,0.646,0.389798472463202,9.64165697032023,9.43612642278998,109.921,109.967,109.978,110.02,110.128,110.5764740062
358764.54328,524362.68377,33.5733268766419,24.1560235876204,20.2521862961685,22.1631296358276,14.8715756931246,14.7010676617248,0.643,0.406818686209211,9.90184943641558,9.836586920695,109.923,109.965,109.977,110.02,110.125,110.5700030582
358764.65123,524362.29175,33.3205321295836,24.0574112033333,20.2071710109798,22.0100411942492,14.8792224397994,14.8794362257731,0.644,0.419064041468825,10.455556785606,10.2452419476768,109.923,109.964,109.976,110.02,110.124,110.5622456678
358764.75068,524361.88857,33.2658071985811,23.9903046335294,20.222026553548,21.8615003164449,14.8379700226131,14.9511601676091,0.643,0.422532070344198,10.87388309164,10.6615938467987,109.926,109.963,109.975,110.02,110.123,110.5760101938
358764.84968,524361.48272,33.4960307558,24.0458741582199,20.3146447701771,21.7895848138692,14.7964644764673,14.9759039594105,0.636,0.415543890258287,11.1473061569421,11.0803479245955,109.932,109.962,109.974,110.02,110.122,110.5812966362
358764.9476,524361.07711,32.9485560105808,23.8899112812529,20.2878109223681,21.6632112324775,14.7433171496212,15.158495814017,0.626,0.413918961868044,11.5676172137622,11.4985752316532,109.938,109.961,109.973,110.02,110.121,110.5657675842
358765.04713,524360.67037,32.2381254379859,23.6670030056403,20.2130225624766,21.5024734278213,14.7734836688511,15.3970936465935,0.617,0.43501406896021,11.9756647969266,11.9181990610467,109.94,109.96,109.972,110.02,110.119,110.5591233436
358765.14458,524360.27121,31.750374249113,23.5018150784296,20.1418775430021,21.3682607275634,14.8373264660708,15.6762719834579,0.609,0.444511670122564,12.3937778360241,12.3300220003609,109.943,109.96,109.971,110.02,110.118,110.5543557595
358765.24035,524359.87729,31.3892384366051,23.3749748777975,20.0987442202125,21.2006724900193,14.9430907261895,16.0701840329929,0.601,0.427014328352856,12.9421262916716,12.7363657828078,109.946,109.96,109.97,110.02,110.117,110.5501182467
358765.33156,524359.48998,31.3955540628742,23.3779755148834,20.0975173974309,21.1266520737045,15.0007747817324,16.2245735361863,0.59,0.413154847521658,13.2071951650365,13.1352517153176,109.945,109.96,109.97,110.02,110.116,110.5392405709
358765.42172,524359.10658,30.7601544685487,23.3362393967276,20.1197409975028,21.0471685013031,15.1530815067321,16.4973103947161,0.582,0.395454932561832,13.6068101665438,13.5301274257206,109.934,109.959,109.97,110.02,110.115,110.5139592253
358765.51459,524358.72516,29.5806615665632,23.2063904767732,20.0746643486236,21.0642642298114,15.3833916222292,16.7888945816543,0.575,0.375453725000904,13.9985952314409,13.9236313872933,109.923,109.958,109.97,110.02,110.114,110.4989021407
358765.6067,524358.35454,28.8611365184823,23.1453787651114,20.0325098152166,21.1411942052839,15.5999981141033,16.9829345810637,0.566,0.366245138278784,14.378610128894,14.3065210828863,109.901,109.957,109.97,110.02,110.112,110.4724882773
358765.69756,524357.98838,28.84729807734,23.2328122042017,20.118931124581,21.1954907512377,15.7490605982434,17.1613563618303,0.556,0.362007821988001,14.7556837795767,14.6847938263523,109.873,109.956,109.97,110.02,110.11,110.4291365953
358765.78734,524357.62279,29.0331159492178,23.3296619237614,20.1297315792416,21.2116899772993,15.8702681024492,17.2924374347901,0.55,0.363726062392653,15.2651955068898,15.0622146099384,109.845,109.955,109.97,110.02,110.108,110.3923190621
358765.87177,524357.25969,29.2973269380736,23.4000571223347,20.0778176951437,21.2407491415747,15.889967064508,17.3203908170212,0.548,0.374056012674751,15.6410734846057,15.4361046743872,109.817,109.954,109.97,110.02,110.106,110.3620254841
358765.9638,524356.90487,29.3869517569522,23.4436835771846,20.0537565597925,21.241696828714,15.8545288138883,17.2507839677696,0.55,0.377297509683865,15.8756584980939,15.8046589455636,109.794,109.953,109.97,110.02,110.104,110.3393720692
358766.06511,524356.55275,29.8163657520587,23.5505916055653,20.1044564366545,21.3151688130805,15.9258022552065,17.4321523240908,0.554,0.38276557165281,16.241180592402,16.1730574713848,109.771,109.952,109.97,110.02,110.102,110.3204291538
358766.17398,524356.2029,30.6679915435243,23.7371872794241,20.2036320019189,21.5127766985519,16.0675107369325,17.7559120995358,0.558,0.383813032423664,16.7447163971742,16.5416723552725,109.75,109.95,109.969,110.02,110.1,110.3086034657
358766.2923,524355.8514,31.3156199996044,23.8759559768743,20.2657146217428,21.6841461790521,16.1750609330197,17.9531868281055,0.56,0.379844326145438,17.110695398129,16.9146596561249,109.726,109.948,109.968,110.02,110.097,110.2840733943
358766.41321,524355.5001,31.7389349336707,24.0301653302773,20.3363795258149,21.7998575078903,16.2496266035129,18.0477239023707,0.564,0.355287530912908,17.4980487219372,17.2885720075917,109.712,109.947,109.967,110.02,110.094,110.2714801221
358766.54093,524355.15141,31.9642666249979,24.1114671791887,20.3929014869494,21.8327024318848,16.2889446039514,18.1079563931363,0.573,0.352836786259678,17.7405317351865,17.6623193197089,109.695,109.946,109.966,110.02,110.091,110.264357798
358766.67494,524354.80767,32.2042392427735,24.2255175928426,20.4549889819697,21.8754614295831,16.3727013823167,18.2357422521151,0.581,0.363640041592816,18.110487211121,18.0339616461227,109.689,109.945,109.965,110.02,110.089,110.2675321099
358766.81401,524354.47546,32.4235724866507,24.316162431732,20.5004073662424,21.865493993803,16.3873411769701,18.3004367428424,0.586,0.37521510858095,18.4654768719273,18.3961022686339,109.686,109.943,109.964,110.02,110.085,110.2717696227
358766.94769,524354.15375,32.5431914773733,24.3669458140162,20.5288726038363,21.8166751845979,16.3949044503856,18.3316005829628,0.588,0.383097632020018,18.819576422982,18.7467666627465,109.683,109.941,109.963,110.02,110.081,110.2728267073
358767.08341,524353.84427,32.4468526774453,24.3493115721466,20.5341534998827,21.7352501982414,16.4085683126988,18.3033424548479,0.589,0.374869414671591,19.1608373327214,19.0858979328498,109.68,109.939,109.962,110.02,110.077,110.2666564728
358767.21283,524353.53996,32.1374113966167,24.2542075896702,20.5065489581998,21.6546143091729,16.4981551947251,18.4058922816949,0.593,0.372788887063038,19.5082181942338,19.4177332483322,109.676,109.937,109.961,110.02,110.074,110.2646034657
358767.33229,524353.24042,31.6418221407671,24.0883780084233,20.4538960431137,21.644164167342,16.6373132290841,18.6073425835683,0.598,0.341823334967971,19.8503549883662,19.7422315287791,109.675,109.935,109.96,110.02,110.071,110.2708409785
358767.45381,524352.94331,31.1056686092002,23.8603566890664,20.3814074722781,21.698106978714,16.9333264435217,18.8280866596295,0.608,0.293018558903937,20.2650732540663,20.0654882735031,109.672,109.934,109.96,110.02,110.068,110.2717247706
358767.58087,524352.66307,30.934949854946,23.7682289818024,20.3611266689569,21.7233673970287,17.0671809969638,18.9923003139052,0.622,0.279132595164775,20.4688163770487,20.3779531051337,109.672,109.933,109.96,110.02,110.066,110.2860061162
358767.70839,524352.38572,30.7513498512685,23.601449781651,20.3204614034431,21.8465435040503,17.2334072110662,18.9626827148269,0.634,0.261664573012769,20.7701955341518,20.6881004581475,109.679,109.932,109.96,110.02,110.063,110.3108246687
358767.83893,524352.12202,30.5085593545801,23.4832257290094,20.2528842014619,21.7773374210856,17.1304381944091,18.6374536890135,0.642,0.279863301146545,21.034289074196,20.9884545728667,109.689,109.931,109.96,110.02,110.06,110.3247084607
358767.97029,524351.86554,30.1978898102299,23.3942375669887,20.1372280411743,21.688956345944,17.0296803651087,18.278907535383,0.653,0.303577493952795,21.3463566681425,21.2832070633135,109.699,109.93,109.96,110.02,110.057,110.3437094801
358768.11208,524351.6083,29.847658294138,23.3426458577962,19.9584212453209,21.5655128531071,16.9052840146184,17.876279973202,0.669,0.314905601408695,21.7929615978637,21.5842191254278,109.709,109.93,109.959,110.02,110.056,110.3658807339
