Latitude,Longitude,Altitude,Time,HCP0.32f10000h0,HCP0.32f10000h0_inph,HCP0.72f10000h0,HCP0.72f10000h0_inph,HCP1.18f10000h0,HCP1.18f10000h0_inph,Inv.Cond.1[mS/m],Inv.Cond.2[mS/m],Inv.Thick[m],Inv.RMS[%],Note
5332.506325N,00255.887739W,23.94,10:44:01.48,44.62,1.73,10.58,2.02,8.99,2.66,509.26,0.42,0,30.1,
5332.506325N,00255.887739W,23.94,10:44:02.01,44.66,1.73,10.61,2.02,9.15,2.66,518.32,0.43,0,29.1,
5332.506317N,00255.887710W,23.95,10:44:02.53,44.67,1.73,10.55,2.02,9.14,2.65,517.76,0.43,0,29,
5332.506317N,00255.887710W,23.95,10:44:02.98,44.69,1.73,10.59,2.02,9.11,2.66,516.06,0.43,0,29.4,
5332.506326N,00255.887664W,23.96,10:44:03.51,44.62,1.73,10.66,2.02,9.28,2.66,525.69,0.44,0,28.4,
5332.506270N,00255.887476W,23.96,10:44:04.03,28.2,1.99,8.27,2.19,8.31,2.81,588.99,0.29,0,21.6,
5332.506270N,00255.887476W,23.96,10:44:04.48,-0.61,2.58,3,2.63,6.29,3.01,-1,-1,-1,-1,
5332.506270N,00255.887476W,23.96,10:44:05.01,-1.31,2.54,2.62,2.62,6.16,2.99,-1,-1,-1,-1,
5332.505977N,00255.887168W,23.93,10:44:05.53,-0.81,2.5,2.96,2.58,6.25,2.99,-1,-1,-1,-1,
5332.505977N,00255.887168W,23.93,10:44:05.98,-0.78,2.49,2.85,2.57,6.25,2.98,-1,-1,-1,-1,
5332.505571N,00255.886313W,23.88,10:44:06.50,-0.19,2.45,3.31,2.53,6.61,2.97,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:07.03,-0.25,2.46,3.21,2.52,6.58,2.96,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:07.48,-0.19,2.43,3.2,2.51,6.61,2.94,-1,-1,-1,-1,
5332.505007N,00255.885363W,23.83,10:44:08.01,-0.02,2.41,3.43,2.47,6.63,2.95,-1,-1,-1,-1,
5332.504474N,00255.884390W,23.81,10:44:08.53,0.36,2.37,3.53,2.47,6.69,2.94,-1,-1,-1,-1,
5332.504474N,00255.884390W,23.81,10:44:08.98,-0.35,2.47,3.26,2.49,6.55,2.87,-1,-1,-1,-1,
5332.503986N,00255.883408W,23.88,10:44:09.50,-0.31,2.42,3.19,2.43,6.53,2.91,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:10.03,-0.2,2.43,3.24,2.45,6.59,2.88,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:10.48,0.03,2.38,3.43,2.42,6.81,2.88,-1,-1,-1,-1,
5332.503595N,00255.882216W,23.92,10:44:11.00,-0.03,2.4,3.18,2.42,6.46,2.86,-1,-1,-1,-1,
5332.503110N,00255.881115W,23.94,10:44:11.45,-0.3,2.44,3.21,2.42,6.59,2.84,-1,-1,-1,-1,
5332.503110N,00255.881115W,23.94,10:44:11.98,-0.1,2.4,3.25,2.39,6.46,2.84,-1,-1,-1,-1,
5332.502568N,00255.880165W,23.95,10:44:12.50,0.14,2.37,3.34,2.36,6.61,2.82,-1,-1,-1,-1,
5332.502568N,00255.880165W,23.95,10:44:12.95,0.73,2.33,3.57,2.33,6.77,2.89,-1,-1,-1,-1,
5332.502064N,00255.879108W,23.95,10:44:13.48,0.5,2.36,3.45,2.37,6.79,2.88,-1,-1,-1,-1,
5332.502064N,00255.879108W,23.95,10:44:14.00,0.05,2.38,3.98,2.34,7.07,2.83,-1,-1,-1,-1,
5332.501516N,00255.878127W,24.09,10:44:14.45,4.72,2.3,5.92,2.26,7.64,2.71,3.7,16.6,0.9,2.8,
5332.501516N,00255.878127W,24.09,10:44:14.98,1.14,2.33,4.14,2.31,7.4,2.77,0.09,66.33,2,23.6,
5332.501064N,00255.877143W,24.06,10:44:15.50,1.03,2.27,4.17,2.29,7.3,2.75,0.09,68.88,2.1,29,
5332.501064N,00255.877143W,24.06,10:44:15.95,0.47,2.35,3.79,2.31,7.12,2.76,-1,-1,-1,-1,
5332.500535N,00255.876109W,24.12,10:44:16.48,0.74,2.33,3.77,2.33,6.87,2.79,-1,-1,-1,-1,
5332.500535N,00255.876109W,24.12,10:44:17.00,1.42,2.27,3.99,2.28,6.44,2.83,0.11,36.28,1.4,11.4,
5332.499937N,00255.875209W,24.16,10:44:17.45,1.54,2.35,3.8,2.31,6.7,2.79,0.11,59.74,2,9.2,
5332.499937N,00255.875209W,24.16,10:44:17.98,0.36,2.34,3.43,2.32,6.84,2.78,-1,-1,-1,-1,
5332.499287N,00255.874401W,24.21,10:44:18.50,0.69,2.28,3.67,2.25,7.04,2.75,-1,-1,-1,-1,
5332.499287N,00255.874401W,24.21,10:44:18.95,0.52,2.33,3.99,2.27,7,2.89,-1,-1,-1,-1,
5332.498762N,00255.873441W,24.12,10:44:19.48,2.54,2.34,3.17,2.38,6.21,2.87,1.14,28.67,1.6,11.4,
5332.498762N,00255.873441W,24.12,10:44:20.00,1.83,2.36,3.74,2.3,6.57,2.72,0.22,68.55,2.2,4,
5332.498301N,00255.872415W,24.12,10:44:20.45,0.49,2.34,3.41,2.31,6.47,2.76,-1,-1,-1,-1,
5332.498301N,00255.872415W,24.12,10:44:20.98,0.94,2.24,3.85,2.25,6.81,2.75,0.11,58.23,2,29.3,
5332.497863N,00255.871314W,24.03,10:44:21.50,0.79,2.3,3.83,2.29,6.96,2.81,-1,-1,-1,-1,
5332.497863N,00255.871314W,24.03,10:44:21.95,0.6,2.32,3.8,2.31,6.96,2.77,-1,-1,-1,-1,
5332.497549N,00255.870121W,24.11,10:44:22.48,0.46,2.37,3.76,2.35,7.01,2.8,-1,-1,-1,-1,
5332.497549N,00255.870121W,24.11,10:44:23.00,0.66,2.33,3.99,2.29,6.93,2.77,-1,-1,-1,-1,
5332.497268N,00255.868850W,23.94,10:44:23.45,0.87,2.33,3.85,2.28,6.9,2.77,-1,-1,-1,-1,
5332.497268N,00255.868850W,23.94,10:44:23.98,0.45,2.34,3.69,2.33,6.8,2.76,-1,-1,-1,-1,
5332.497093N,00255.867497W,23.96,10:44:24.50,1.09,2.32,4.02,2.29,7.02,2.76,0.12,62.6,2.1,23.7,
5332.497093N,00255.867497W,23.96,10:44:24.95,0.69,2.29,3.76,2.26,6.72,2.72,-1,-1,-1,-1,
5332.497070N,00255.866131W,23.94,10:44:25.48,0.27,2.37,3.32,2.35,6.24,2.8,-1,-1,-1,-1,
5332.497070N,00255.866131W,23.94,10:44:26.00,-0.22,2.43,2.8,2.41,5.88,2.82,-1,-1,-1,-1,
5332.497160N,00255.864860W,23.87,10:44:26.45,-0.52,2.43,2.93,2.41,5.99,2.8,-1,-1,-1,-1,
