Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick[m]	Inv.RMS[%]	Note
5332.500802N	00255.799084W	22.08	11:29:42.58	0.00	2.74	5.72	3.15	7.54	3.55	-1.00	-1.00	-1.0	-1.0
5332.500783N	00255.799078W	22.09	11:29:43.11	-0.06	2.74	5.71	3.15	7.61	3.56	-1.00	-1.00	-1.0	-1.0
5332.500783N	00255.799078W	22.09	11:29:43.64	0.00	2.74	5.69	3.15	7.64	3.56	-1.00	-1.00	-1.0	-1.0
5332.500784N	00255.799092W	22.09	11:29:44.08	-0.02	2.74	5.72	3.15	7.54	3.56	-1.00	-1.00	-1.0	-1.0
5332.500784N	00255.799092W	22.09	11:29:44.61	-0.02	2.74	5.71	3.15	7.52	3.56	-1.00	-1.00	-1.0	-1.0
5332.500805N	00255.799088W	22.10	11:29:45.13	-0.01	2.74	5.76	3.15	7.60	3.56	-1.00	-1.00	-1.0	-1.0
5332.500805N	00255.799088W	22.10	11:29:45.58	-0.07	2.74	5.74	3.16	7.51	3.55	-1.00	-1.00	-1.0	-1.0
5332.500710N	00255.799282W	22.14	11:29:46.11	0.09	2.55	5.39	3.09	7.32	3.56	-1.00	-1.00	-1.0	-1.0
5332.500710N	00255.799282W	22.14	11:29:46.63	-0.12	2.47	4.96	2.98	6.90	3.53	-1.00	-1.00	-1.0	-1.0
5332.500628N	00255.800050W	22.14	11:29:47.08	-0.02	2.60	5.13	3.12	6.96	3.54	-1.00	-1.00	-1.0	-1.0
5332.500628N	00255.800050W	22.14	11:29:47.61	0.07	2.52	5.00	3.03	6.78	3.49	-1.00	-1.00	-1.0	-1.0
5332.500391N	00255.801179W	22.29	11:29:48.13	0.06	2.51	5.01	3.02	6.61	3.49	-1.00	-1.00	-1.0	-1.0
5332.500391N	00255.801179W	22.29	11:29:48.58	-0.08	2.55	5.06	3.04	6.77	3.53	-1.00	-1.00	-1.0	-1.0
5332.500063N	00255.802298W	22.32	11:29:49.11	0.10	2.48	5.01	2.95	6.58	3.43	-1.00	-1.00	-1.0	-1.0
5332.500063N	00255.802298W	22.32	11:29:49.63	0.04	2.49	4.98	2.98	6.84	3.49	-1.00	-1.00	-1.0	-1.0
5332.499742N	00255.803393W	22.26	11:29:50.08	0.04	2.50	5.09	2.99	7.00	3.46	-1.00	-1.00	-1.0	-1.0
