FID,Point,x,y,POINT_X,POINT_Y,DepthtoLay
0,1,50.769250000000000,-3.898814000000000,266199.972578999990000,98349.595167599997000,40.000000000000000
1,2,50.769480000000001,-3.898469000000000,266224.955393999990000,98374.544622899994000,40.000000000000000
2,3,50.769260000000003,-3.898460000000000,266224.961725000000000,98350.066244100002000,30.000000000000000
3,4,50.769030000000001,-3.898450000000000,266225.010017000020000,98324.474143100000000,30.000000000000000
4,5,50.768819999999998,-3.898087000000000,266250.005738999990000,98300.466969100002000,20.000000000000000
5,6,50.769069999999999,-3.898163000000000,266245.360731999970000,98328.402337599997000,40.000000000000000
6,7,50.769170000000003,-3.898285000000000,266237.044005999980000,98339.742273099997000,30.000000000000000
7,8,50.769269999999999,-3.898105000000000,266250.021369999970000,98350.535630400002000,38.000000000000000
8,9,50.769489999999998,-3.898114000000000,266250.014922000000000,98375.014005899997000,30.000000000000000
9,10,50.769710000000003,-3.898123000000000,266250.008481999980000,98399.492382400000000,23.000000000000000
10,11,50.769599999999997,-3.897915000000000,266264.360408000010000,98386.884923699996000,50.000000000000000
11,12,50.769720000000000,-3.897769000000000,266274.997374999980000,98399.963691900004000,29.000000000000000
12,13,50.769500000000001,-3.897760000000000,266275.003932000020000,98375.485318599996000,25.000000000000000
13,14,50.769269999999999,-3.897751000000000,266274.981949999990000,98349.895033299996000,20.000000000000000
14,15,50.769050000000000,-3.897742000000000,266274.988522999980000,98325.416661900003000,36.000000000000000
15,16,50.768920000000001,-3.897899000000000,266263.547252000020000,98311.245883299998000,44.000000000000000
16,17,50.768819999999998,-3.897733000000000,266274.966558000010000,98299.826378500002000,38.000000000000000
17,18,50.768859999999997,-3.897407000000000,266298.067240000000000,98303.684213700006000,36.000000000000000
18,19,50.769050000000000,-3.897387000000000,266300.019731000010000,98324.774378600006000,40.000000000000000
19,20,50.769280000000002,-3.897397000000000,266299.971071999990000,98350.366468799999000,29.000000000000000
20,21,50.769500000000001,-3.897406000000000,266299.964389999980000,98374.844837800003000,20.000000000000000
21,22,50.769620000000003,-3.897234000000000,266312.434536000020000,98387.876643900003000,58.000000000000000
22,23,50.769730000000003,-3.897415000000000,266299.986258000020000,98400.435120900001000,29.000000000000000
23,24,50.769950000000001,-3.897424000000000,266299.979592000020000,98424.913491800005000,36.000000000000000
24,25,50.769730000000003,-3.897060000000000,266325.017104000030000,98399.792947700000000,20.000000000000000
25,26,50.769509999999997,-3.897051000000000,266325.023894999990000,98375.314580899998000,44.000000000000000
26,27,50.769280000000002,-3.897042000000000,266325.002158000020000,98349.724302100003000,36.000000000000000
27,28,50.769060000000003,-3.897033000000000,266325.008964999990000,98325.245937200001000,35.000000000000000
28,29,50.769289999999998,-3.896880000000000,266353.753162999990000,98348.319263300000000,40.000000000000000
29,30,50.769509999999997,-3.896697000000000,266349.984349999980000,98374.674339599995000,35.000000000000000
