BoreholeID,x,y,VCP0.32,VCP0.32_inph,VCP0.32_err,VCP0.71,VCP0.71_inph,VCP0.71_err,VCP1.18,VCP1.18_inph,VCP1.18_err,HCP0.32,HCP0.32_inph,HCP0.32_err,HCP0.71,HCP0.71_inph,HCP0.71_err,HCP1.18,HCP1.18_inph,HCP1.18_err,saproliteDepth,,X,Y,HCP,Cond2Hi,Cond3Hi,Cond1Low,Cond2Low,Cond3Low
1,266199.646335594,98354.9707772782,10.52,1.85,0.20,5.93,1.50,1.10,6.13,2.01,1.03,4.18,2.67,0.47,5.10,3.13,1.05,6.66,3.39,1.20,0.4,,266353.6912,98346.0585,5.6883,8.4411,9.1278,7.0227,6.9336,7.8509
2,266234.909770815,98376.9295345676,9.81,1.75,0.03,5.39,1.23,0.83,5.33,1.79,0.93,4.84,2.56,0.47,4.08,3.40,0.97,5.35,3.94,0.67,0.4,,266352.6162,98371.8376,4.3011,6.6233,7.2944,6.318,6.052,5.871
3,266228.640662334,98352.6018466771,11.44,1.30,0.27,6.33,0.94,0.27,6.35,1.70,0.83,5.18,2.81,0.43,5.11,4.11,1.23,6.19,4.28,0.33,0.3,,266326.6931,98399.6185,3.9282,5.2718,5.96,4.4711,4.7633,5.1278
4,266230.184560499,98326.9943271388,10.39,1.82,0.37,7.74,1.63,0.73,8.57,2.19,0.50,5.26,2.92,1.20,8.01,3.15,0.40,9.30,6.12,0.70,0.3,,266325.7422,98373.7477,4.1292,6.6192,6.7533,6.66,6.4421,6.54
5,266256.616238396,98301.7492508704,12.72,1.67,0.20,6.96,1.12,0.37,6.35,1.61,0.93,5.72,2.54,0.60,4.98,3.36,1.53,6.26,4.02,1.30,0.2,,266326.6502,98347.9574,4.4758,7.1808,7.0425,6.4325,6.3392,6.4608
6,266248.449531271,98328.283343893,12.22,1.32,0.23,7.04,0.92,0.77,7.23,1.61,1.03,4.19,2.75,0.80,5.83,4.14,1.30,7.87,4.27,0.83,0.4,,266325.1123,98322.8573,7.3678,10.9856,13.1722,7.9646,8.8708,9.3315
7,266238.116898176,98344.9262878,13.23,1.11,0.17,7.09,0.55,0.90,6.69,1.38,0.67,3.84,2.84,1.50,4.29,4.53,1.10,6.68,4.90,0.83,0.3,,266299.0327,98303.3155,7.1109,10.5809,14.14,7.5293,8.3793,9.0657
8,266256.589534778,98353.2083423554,12.70,1.10,0.20,6.81,0.67,0.80,6.70,1.42,1.10,3.78,2.95,0.17,4.91,4.53,0.80,7.06,4.82,0.93,0.38,,266298.8239,98324.4017,5.2981,6.9006,7.6019,6.974,7.559,7.944
9,266255.851247278,98378.5948993345,11.06,1.61,0.57,6.21,0.94,1.03,5.99,1.54,0.77,5.61,2.49,0.30,4.30,3.79,0.63,6.02,4.52,1.20,0.3,,266297.4871,98354.2688,6.3425,6.7612,6.7562,6.58,6.5243,6.4214
10,266255.376205989,98402.4170401356,12.18,1.46,0.20,5.77,0.96,0.27,5.10,1.55,0.63,3.49,2.72,1.07,3.02,3.96,1.37,4.88,4.31,1.00,0.23,,266300.3523,98375.1826,6.4125,6.7912,6.9425,6.4562,6.3613,6.57
11,266281.000243615,98403.9956785328,19.52,0.92,0.23,7.61,0.26,1.13,5.92,1.06,0.93,0.79,3.03,2.43,1.48,4.81,3.90,4.24,5.18,1.70,0.5,,266311.7864,98386.9714,3.1371,5.4486,6.5857,6.355,5.3712,5.605
12,266287.198608595,98377.4676456514,10.95,1.38,0.10,6.60,0.88,0.63,6.66,1.64,0.73,5.09,2.79,0.90,5.82,4.23,1.30,7.65,4.28,0.47,0.29,,266300.0103,98397.0966,4.1556,5.5756,6.1144,5.8175,5.4375,5.5838
13,266271.569635149,98387.8822997493,17.06,1.06,0.28,7.89,0.06,0.70,6.04,0.79,1.23,3.58,2.65,1.03,1.82,4.65,6.77,4.28,5.77,2.10,0.25,,266298.5496,98427.1569,5.0717,6.2808,6.8258,6.3589,5.7311,6.08
14,266277.533211541,98354.4064433972,11.96,1.19,0.25,6.43,1.07,0.20,6.65,1.79,1.35,2.85,3.23,1.43,5.03,4.43,1.37,7.10,3.82,1.13,0.2,,266274.6357,98397.6523,3.1957,5.6457,6.3214,6.166,5.375,5.409
15,266283.479032128,98330.1323720305,19.14,0.55,0.07,7.44,0.37,0.37,6.59,1.34,0.47,-2.61,3.68,1.67,2.79,5.25,6.13,6.07,5.18,1.10,0.36,,266265.3468,98384.4754,2.8686,6.0529,6.8643,6.0713,5.645,6.025
16,266281.264866672,98303.2416881411,16.48,0.92,0.30,7.36,0.62,0.83,6.89,1.37,0.40,-0.40,3.35,2.33,4.62,4.70,2.20,7.62,4.45,1.00,0.44,,266280.0874,98372.1838,6.6612,7.4625,7.2687,6.3388,6.7462,6.865
17,266268.481959677,98317.0657804756,16.48,0.80,0.40,7.87,0.31,1.17,7.28,1.23,1.00,3.22,3.08,0.40,4.54,4.86,0.90,5.97,5.10,0.85,0.38,,266272.8023,98347.8369,6.69,7.2014,7.7371,6.7286,7.0471,7.2671
18,266301.927913718,98304.7697554754,14.80,1.02,0.13,7.61,0.40,0.80,7.62,1.19,0.83,4.91,2.83,1.05,5.18,4.69,1.45,8.04,5.03,1.45,0.36,,266277.9847,98323.6013,5.3725,6.65,7.5775,6.3557,6.7357,7.3957
19,266301.295433812,98330.1647051971,18.08,0.74,0.27,6.97,0.77,0.80,6.57,1.63,0.43,-2.03,3.67,1.23,4.04,4.80,2.27,6.81,4.16,1.07,0.4,,266275.9716,98299.1219,6.116,7.817,9.31,7.3333,7.8778,8.1622
20,266300.901983543,98362.6742511821,14.70,0.83,0.27,7.46,0.54,0.53,7.36,1.42,0.47,3.92,3.15,1.20,4.61,5.16,2.03,7.18,4.78,1.30,0.29,,266251.5107,98295.1281,6.4509,7.5536,8.59,6.4238,6.5738,6.8062
21,266302.611247259,98379.2417142765,12.98,1.12,0.33,6.87,0.94,0.97,7.19,1.67,0.73,3.57,3.23,1.07,5.53,4.39,1.73,7.41,4.04,1.00,0.2,,266245.3043,98323.8002,6.2825,7.7625,7.9075,6.4129,7.3557,7.6657
22,266313.337472752,98392.5069878747,18.14,1.02,0.27,7.26,0.28,0.13,5.90,1.04,0.27,1.07,2.95,6.07,1.18,4.85,14.73,4.16,5.23,1.53,0.58,,266234.768,98339.033,5.088,8.065,8.745,6.1911,7.0167,7.5889
23,266302.473828278,98403.8562599179,17.16,1.05,0.13,7.00,0.47,0.63,5.87,1.24,0.87,2.23,2.96,0.90,1.95,4.70,4.27,4.60,4.95,2.53,0.29,,266251.2431,98348.2631,5.8486,7.2086,7.4457,6.3157,6.4271,6.2814
24,266302.684249108,98433.5020218472,12.37,1.63,0.20,6.48,1.19,0.07,6.32,1.77,0.43,4.70,2.75,0.33,4.23,3.60,1.50,6.24,3.92,1.47,0.36,,266251.4126,98376.4134,4.858,6.688,7.631,5.2578,5.9667,6.5111
25,266330.759903535,98406.0677773588,9.56,1.69,0.30,4.91,1.43,1.87,5.08,1.98,1.03,2.74,3.01,0.73,3.38,3.70,1.57,4.85,3.49,1.57,0.2,,266250.2044,98398.5725,3.5522,6.2078,7.2222,4.6814,4.9186,5.2243
26,266329.108061913,98381.0095931529,25.72,0.08,1.13,9.25,-0.20,0.63,6.83,0.90,0.70,-6.62,3.97,1.73,0.76,6.09,15.90,5.29,5.75,2.23,0.44,,266225.9716,98375.6497,4.9267,6.8183,8.0167,4.8033,5.8933,6.4756
27,266332.357596489,98354.2123719412,33.44,-0.20,0.30,11.07,-0.50,0.43,8.08,0.75,0.70,-0.24,4.01,2.27,3.34,6.44,4.93,7.11,6.08,1.03,0.36,,266222.1567,98349.6376,5.645,6.808,7.751,5.8611,6.5278,6.8656
28,266330.145389293,98329.3132053058,21.53,0.35,0.07,8.86,0.14,0.63,7.77,1.20,0.33,-1.18,3.67,2.60,4.20,5.48,3.27,8.22,4.80,0.80,0.35,,266225.3804,98321.861,7.961,9.03,9.693,8.0762,9.6275,10.3438
29,266356.248634778,98350.662197415,18.41,0.42,0.23,7.55,0.27,1.20,6.98,1.30,1.13,-1.07,3.55,1.67,3.08,5.52,3.67,6.99,4.97,1.50,0.4,,266197.3334,98349.8576,5.5362,7.59,8.6713,6.1167,7.4567,8.2133
30,266351.777638392,98379.0817678881,25.51,0.11,0.03,9.47,-0.37,0.73,7.01,0.66,1.27,-1.78,3.61,2.57,1.11,6.08,5.80,5.41,6.04,0.57,0.35,,,,,,,,,
