Latitude	Longitude	Altitude	Time	Cond1.[mS/m]	Inph.1[ppt]	Error1[%]	Cond2.[mS/m]	Inph.2[ppt]	Error2[%]	Cond3.[mS/m]	Inph.3[ppt]	Error3[%]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick [m]	Inv.RMS[%]	Note
				11.97	1.82	0.1	3.04	1.61	2.6	5.65	2.05	1.2	95.60	0.94	0.0	37.5
5046.154467N	00353.930702W	165.62	15:31:14.71	13.44	1.81	0.3	2.94	1.72	0.2	6.14	2.08	0.1	-1.00	-1.00	-1.0	-1.0
5046.154065N	00353.931769W	165.58	15:31:40.68	12.66	1.80	0.4	2.29	1.77	2.7	6.01	2.08	0.4	-1.00	-1.00	-1.0	-1.0
5046.154622N	00353.932264W	165.65	15:31:48.28	13.22	1.92	0.1	1.41	1.87	0.9	6.13	2.16	0.5	-1.00	-1.00	-1.0	-1.0
5046.174762N	00353.873730W	163.06	15:33:34.50	17.70	1.01	0.3	4.90	0.25	0.5	5.38	0.95	1.5	377.93	0.18	0.0	23.4
5046.174133N	00353.873366W	163.11	15:34:03.36	19.62	1.00	0.0	3.96	0.33	1.6	6.10	0.88	0.6	-1.00	-1.00	-1.0	-1.0
5046.174141N	00353.873366W	163.08	15:34:15.90	21.06	0.85	0.0	4.27	0.15	1.4	5.75	0.72	0.4	-1.00	-1.00	-1.0	-1.0
5046.174509N	00353.874701W	162.98	15:34:31.69	19.22	1.22	0.2	3.49	0.35	0.9	5.70	0.84	0.4	-1.00	-1.00	-1.0	-1.0
5046.174576N	00353.874895W	163.03	15:35:07.52	17.31	1.08	0.2	7.80	0.10	1.4	6.25	0.74	1.2	120.10	1.04	0.0	5.9
5046.174613N	00353.874866W	162.97	15:35:21.97	17.10	1.10	0.0	7.82	0.13	0.2	6.19	0.78	0.5	119.01	1.03	0.0	5.8
5046.174803N	00353.873963W	162.63	15:35:28.72	15.94	1.16	0.3	7.35	0.21	1.1	5.90	0.92	0.0	113.39	0.98	0.0	6.7
5046.174225N	00353.873030W	162.74	15:35:37.04	16.50	1.12	0.3	7.57	0.16	0.6	6.15	0.86	1.2	118.17	1.02	0.0	7.4
5046.173924N	00353.874169W	162.87	15:35:47.15	16.70	1.08	0.2	7.67	0.01	1.9	6.07	0.71	0.0	116.72	1.01	0.0	5.9
5046.173853N	00353.874380W	162.92	15:36:04.26	16.66	1.04	1.3	8.64	-0.01	1.3	5.76	0.70	0.9	40.97	0.58	0.1	4.8
