Latitude	Longitude	Altitude	Time	Cond1.[mS/m]	Inph.1[ppt]	Error1[%]	Cond2.[mS/m]	Inph.2[ppt]	Error2[%]	Cond3.[mS/m]	Inph.3[ppt]	Error3[%]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick [m]	Inv.RMS[%]	Note
5046.155754N	00353.931453W	166.20	18:34:38.60	6.40	2.55	0.1	5.61	3.01	1.6	7.02	3.41	0.3	5.74	6.44	0.8	7.2
5046.140714N	00353.906622W	170.15	18:35:05.72	7.89	2.62	0.7	6.86	3.25	1.5	9.14	3.30	0.8	45.23	7.45	0.0	13.1
5046.127096N	00353.884278W	172.66	18:35:52.15	9.29	2.30	0.0	5.81	2.90	0.2	6.77	3.60	0.1	79.82	5.53	0.1	7.5
5046.129516N	00353.863848W	171.37	18:36:17.01	5.51	2.74	1.5	4.55	4.37	1.0	6.28	4.68	0.2	4.92	7.65	2.4	11.3
5046.136058N	00353.874935W	170.74	18:36:43.72	7.61	2.37	0.4	4.99	4.13	1.5	6.12	4.96	0.6	74.20	4.90	0.0	9.3
5046.142332N	00353.889662W	169.96	18:37:16.96	8.55	2.39	0.1	6.14	3.81	1.0	7.69	4.13	0.5	67.26	6.35	0.0	8.7
5046.150708N	00353.899290W	168.21	18:38:00.65	6.39	2.52	2.2	4.84	4.22	2.2	6.99	4.95	0.6	5.48	8.51	2.4	11.9
5046.155424N	00353.909769W	167.27	18:38:21.98	8.19	2.30	0.1	5.68	3.53	0.9	6.94	4.15	0.0	66.50	5.67	0.0	9.9
5046.169717N	00353.907248W	164.33	18:38:51.01	7.79	2.33	0.1	4.70	3.11	1.5	5.91	3.75	0.0	71.61	4.73	0.0	9.6
5046.155979N	00353.885165W	167.82	18:39:43.76	8.71	2.20	0.2	5.60	4.00	1.0	7.57	4.66	0.6	81.29	5.90	0.0	13.4
5046.142850N	00353.862275W	169.97	18:40:19.12	6.71	2.43	1.3	4.34	4.39	1.3	6.23	4.95	1.0	70.67	4.77	0.0	13.0
5046.144098N	00353.843488W	168.84	18:41:39.96	4.47	2.63	1.1	4.22	4.27	1.4	5.90	4.28	0.8	3.94	42.41	6.6	9.9
5046.155860N	00353.866748W	167.77	18:43:09.72	7.02	2.47	0.2	6.31	3.70	0.6	7.79	3.77	0.0	6.35	7.55	1.1	7.1
5046.170601N	00353.885832W	165.27	18:44:33.69	8.39	2.16	0.5	5.11	3.25	0.8	6.50	4.19	1.0	78.79	5.20	0.0	9.4	d
5046.182483N	00353.887365W	162.84	18:45:42.44	5.99	2.46	1.6	3.60	3.61	4.2	5.24	4.11	1.7	59.47	4.02	0.0	13.0
5046.182941N	00353.865836W	162.72	18:47:04.48	8.92	2.01	0.2	2.95	3.88	3.7	4.83	4.87	2.3	93.58	3.14	0.1	22.9
5046.168755N	00353.860997W	165.56	18:50:37.78	8.90	2.16	0.3	6.34	3.74	0.3	7.97	4.08	1.1	69.70	6.58	0.0	8.3
5046.168763N	00353.860970W	165.53	18:51:03.06	9.45	2.13	0.1	3.15	4.09	0.0	5.06	5.35	1.3	98.08	3.29	0.1	22.5
5046.159925N	00353.845209W	165.86	18:55:20.25	6.22	2.54	0.0	4.89	4.76	1.5	7.05	5.06	0.4	5.53	8.58	2.4	11.4
5046.171612N	00353.844133W	163.50	18:56:00.43	5.95	2.54	3.5	5.62	4.06	2.4	7.66	4.18	0.5	5.06	15.19	2.7	10.1
5046.183114N	00353.844853W	161.60	18:56:42.59	6.15	2.43	0.4	2.96	4.14	2.9	5.02	4.83	1.2	112.08	3.43	0.0	23.8
5046.178071N	00353.834569W	162.06	18:57:05.51	7.57	2.20	3.5	2.80	3.80	4.1	4.35	4.97	1.8	84.25	2.83	0.1	22.1
5046.199298N	00353.845394W	159.05	18:57:44.06	8.09	2.48	0.2	5.27	3.27	1.0	5.94	4.01	0.1	69.96	4.85	0.1	6.3
5046.184753N	00353.821237W	160.51	18:58:46.92	6.08	2.40	0.7	3.96	3.23	2.6	5.11	3.45	0.9	61.92	4.09	0.0	11.1
5046.170544N	00353.821862W	162.86	18:59:29.18	6.65	2.25	1.7	2.80	4.95	0.8	5.60	5.56	0.8	117.28	3.73	0.0	26.2
5046.156388N	00353.820931W	165.72	19:00:20.63	5.91	2.39	1.9	2.38	5.51	1.1	5.89	6.17	1.4	128.47	3.73	0.0	33.6
5046.142593N	00353.820381W	167.45	19:01:04.80	3.63	2.80	1.0	3.93	5.30	3.6	7.96	4.89	2.4	1.79	35.80	2.7	13.3
5046.156468N	00353.798034W	163.61	19:01:40.09	5.42	2.50	0.9	3.89	4.87	0.8	6.82	5.05	0.2	4.32	10.24	2.3	16.7
5046.170511N	00353.800359W	161.45	19:02:32.37	3.66	2.79	3.0	1.74	5.66	6.7	5.64	5.92	1.2	2.16	20.96	3.5	38.8
5046.155740N	00353.931238W	166.63	19:05:50.75	7.91	2.43	0.3	5.91	2.99	0.3	7.29	3.32	0.2	63.78	6.03	0.0	10.1
