Latitude,Longitude,Altitude,Time,HCP0.32,HCP0.32_inph,HCP0.71,HCP0.71_inph,HCP1.14,HCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.461265N,00220.673206W,30.52,13:11:43.46,5.5,2.18,7.92,2.89,11.24,5.3,2.82,19.19,3.9,2.4,
5224.461265N,00220.673197W,30.5,13:11:44.36,5.41,2.18,7.89,2.89,11.19,5.3,2.81,19.1,3.9,2.8,
5224.461270N,00220.673193W,30.48,13:11:45.41,5.49,2.18,7.9,2.92,11.48,5.21,2.88,19.6,3.9,3.9,
5224.461274N,00220.673185W,30.47,13:11:46.46,5.44,2.18,7.92,2.92,11.25,5.29,2.82,19.2,3.9,2.8,
5224.461271N,00220.673189W,30.46,13:11:47.36,5.51,2.18,8,2.88,11.4,5.3,2.86,19.46,3.9,2.9,
5224.461253N,00220.673162W,30.45,13:11:48.41,5.34,2.18,7.84,2.88,11.21,5.23,2.81,19.13,3.9,3.6,
5224.461262N,00220.673164W,30.45,13:11:49.46,5.12,2.18,7.43,2.88,10.45,5.2,2.62,17.84,3.9,2.8,
5224.461246N,00220.673146W,30.46,13:11:50.36,5.1,2.18,7.67,2.92,10.99,5.32,1.75,17.1,3.1,2.2,
5224.461259N,00220.673151W,30.45,13:11:51.41,5.31,2.18,7.96,2.89,11.39,5.25,1.81,17.73,3.1,2.1,
5224.461250N,00220.673152W,30.45,13:11:52.46,5.31,2.17,7.85,2.87,11.3,5.17,1.8,17.59,3.1,2.6,
5224.461248N,00220.673157W,30.44,13:11:53.36,5.27,2.17,7.73,2.84,11.21,5.19,1.78,17.45,3.1,2.9,
5224.461257N,00220.673154W,30.43,13:11:54.41,5.29,2.18,7.82,2.87,11.31,5.19,1.8,17.6,3.1,2.6,
5224.461263N,00220.673156W,30.43,13:11:55.46,5.2,2.18,7.64,2.9,11.04,5.24,1.76,17.18,3.1,2.9,
5224.461265N,00220.673157W,30.43,13:11:56.36,5.28,2.18,7.81,2.89,11.19,5.21,1.78,17.41,3.1,2.6,
5224.461269N,00220.673160W,30.43,13:11:57.41,5.36,2.18,7.95,2.92,11.34,5.34,1.8,17.65,3.1,2.4,
5224.461248N,00220.673171W,30.42,13:11:58.46,5.21,2.18,7.76,2.88,11.08,5.27,1.76,17.24,3.1,2.4,
5224.461257N,00220.673175W,30.42,13:11:59.36,5.18,2.17,7.57,2.87,10.92,5.23,1.74,16.99,3.1,3.2,
5224.461248N,00220.673170W,30.42,13:12:00.40,5.21,2.18,7.82,2.88,11.07,5.25,1.76,17.23,3.1,2.2,
5224.461253N,00220.673168W,30.42,13:12:01.46,5.26,2.18,7.8,2.92,11.22,5.29,1.78,17.46,3.1,2.5,
5224.461260N,00220.673173W,30.43,13:12:02.36,5.35,2.18,7.87,2.91,11.25,5.26,2.82,19.2,3.9,3.6,
5224.461257N,00220.673179W,30.41,13:12:03.41,5.4,2.18,7.77,2.85,11.21,5.13,2.81,19.13,3.9,3.5,
5224.461248N,00220.673165W,30.42,13:12:04.46,5.26,2.18,7.77,2.9,11.15,5.33,1.77,17.35,3.1,2.7,
5224.461229N,00220.673159W,30.42,13:12:05.36,5.15,2.18,7.46,2.88,10.99,5.27,1.75,17.1,3.1,3.5,
5224.461218N,00220.673180W,30.41,13:12:06.41,5.14,2.18,7.59,2.84,11,5.15,1.75,17.12,3.1,2.8,
5224.461219N,00220.673173W,30.41,13:12:07.46,5.04,2.18,7.55,2.87,10.87,5.15,1.73,16.92,3.1,2.4,
5224.461216N,00220.673158W,30.4,13:12:08.36,5.17,2.18,7.72,2.88,11.03,5.21,1.75,17.17,3.1,2.4,
5224.461226N,00220.673155W,30.41,13:12:09.40,5.22,2.18,7.76,2.84,11.16,5.19,1.77,17.37,3.1,2.5,
5224.461229N,00220.673163W,30.41,13:12:10.46,5.15,2.18,7.58,2.87,11.01,5.25,1.75,17.13,3.1,2.9,
5224.461246N,00220.673175W,30.41,13:12:11.36,5.21,2.18,7.72,2.9,11.16,5.3,1.77,17.37,3.1,2.6,
5224.461245N,00220.673175W,30.41,13:12:12.41,5.2,2.18,7.67,2.89,11.06,5.21,1.76,17.21,3.1,2.8,
5224.461227N,00220.673137W,30.4,13:12:13.46,5.2,2.18,7.7,2.89,11.03,5.22,1.75,17.17,3.1,2.7,
5224.461238N,00220.673169W,30.4,13:12:14.36,5.31,2.18,7.88,2.86,11.24,5.23,1.79,17.49,3.1,2.5,
5224.461232N,00220.673184W,30.4,13:12:15.41,5.24,2.17,7.74,2.85,11.08,5.2,1.76,17.24,3.1,2.7,
5224.461263N,00220.673178W,30.41,13:12:16.46,5.19,2.18,7.79,2.88,11.44,5.29,1.82,17.8,3.1,2.1,
5224.461174N,00220.673168W,30.39,13:12:17.36,5.08,2.18,7.4,2.85,10.93,5.15,1.74,17.01,3.1,3.3,
5224.461216N,00220.673181W,30.41,13:12:18.41,5.14,2.19,7.66,2.85,11.38,5.22,1.81,17.71,3.1,2.3,
5224.461236N,00220.673156W,30.41,13:12:19.46,4.91,2.19,7.52,2.86,10.95,5.21,1.74,17.04,3.1,1.7,
5224.461236N,00220.673231W,30.4,13:12:20.36,5.02,2.19,7.41,2.85,10.81,5.2,1.72,16.82,3.1,2.9,
