Latitude,Longitude,Altitude,Time,VCP0.32,VCP0.32_inph,VCP0.71,VCP0.71_inph,VCP1.14,VCP1.14_inph,Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
5224.462795N,00220.616603W,41.73,09:29:49.09,8.63,2.67,15.62,5.64,-7.91,-31.96,-1,-1,-1,-1,
5224.462790N,00220.616632W,41.72,09:29:50.14,9.1,2.69,15.66,5.6,-7.4,-31.01,-1,-1,-1,-1,
5224.462784N,00220.616651W,41.73,09:29:51.19,9.78,2.68,15.68,5.57,-8.66,-31.59,-1,-1,-1,-1,
5224.462779N,00220.616603W,41.73,09:29:52.09,11.97,2.66,16.31,5.36,-7.66,-18.7,-1,-1,-1,-1,
5224.462779N,00220.616572W,41.73,09:29:53.14,12.41,2.63,16.33,5.21,-3.78,-15.85,-1,-1,-1,-1,
5224.462775N,00220.616593W,41.73,09:29:54.19,12.61,2.66,15.98,5.17,-5.92,-21.27,-1,-1,-1,-1,
5224.462728N,00220.616542W,41.73,09:29:55.09,12.47,2.63,16.51,5.22,-4.36,-16.8,-1,-1,-1,-1,
5224.462811N,00220.616547W,41.72,09:29:56.14,12.47,2.63,16.43,5.22,-3.63,-15.6,-1,-1,-1,-1,
5224.462770N,00220.616533W,41.72,09:29:57.19,11.81,2.61,16.19,5.17,-3.49,-17.89,-1,-1,-1,-1,
5224.462759N,00220.616529W,41.72,09:29:58.09,11.83,2.59,16.17,5.16,-3.79,-17.03,-1,-1,-1,-1,
5224.462745N,00220.616520W,41.72,09:29:59.14,11.78,2.57,16.4,5.17,-3.62,-15.7,-1,-1,-1,-1,
5224.462738N,00220.616572W,41.71,09:30:00.19,11.56,2.55,16.42,5.17,-3.42,-15.84,-1,-1,-1,-1,
5224.462699N,00220.616574W,41.72,09:30:01.09,11.6,2.56,16.45,5.15,-3.11,-15.88,-1,-1,-1,-1,
5224.462699N,00220.616590W,41.74,09:30:02.14,11.47,2.54,16.49,5.15,-3.03,-15.14,-1,-1,-1,-1,
5224.462694N,00220.616566W,41.74,09:30:03.19,11.71,2.55,16.6,5.18,-2.75,-13.63,-1,-1,-1,-1,
5224.462677N,00220.616562W,41.74,09:30:04.09,11.54,2.55,16.55,5.13,-2.67,-14.7,-1,-1,-1,-1,
5224.462717N,00220.616592W,41.71,09:30:05.14,11.38,2.5,16.54,5.17,-2.6,-14.51,-1,-1,-1,-1,
5224.462732N,00220.616595W,41.71,09:30:06.19,10.94,2.47,16.3,5.16,-3.73,-18.37,-1,-1,-1,-1,
5224.462750N,00220.616616W,41.71,09:30:07.09,10.44,2.55,16.46,5.31,-4.75,-21.77,-1,-1,-1,-1,
