Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick[m]	Inv.RMS[%]	Note
5224.461500N	00220.673328W	30.65	10:30:26.15	3.46	2.18	5.39	2.28	7.11	4.29	0.71	10.78	1.1	4.0
5224.461460N	00220.673331W	30.70	10:30:27.20	3.53	2.17	5.51	2.28	7.32	4.34	0.69	11.32	1.2	4.5
5224.461490N	00220.673316W	30.66	10:30:28.25	3.40	2.18	5.40	2.29	7.04	4.36	0.70	10.68	1.1	3.8
5224.461447N	00220.673339W	30.70	10:30:29.16	3.34	2.18	5.38	2.33	6.62	4.48	0.66	10.04	1.1	2.1
5224.461389N	00220.673456W	30.75	10:30:30.21	3.45	2.16	5.40	2.31	6.99	4.29	0.70	10.60	1.1	2.8
5224.461387N	00220.673379W	30.76	10:30:31.25	3.58	2.15	5.63	2.31	7.11	4.30	0.71	10.78	1.1	1.5
5224.461355N	00220.673409W	30.77	10:30:32.16	3.56	2.16	5.67	2.32	7.14	4.30	0.71	10.83	1.1	1.6
5224.461341N	00220.673399W	30.77	10:30:33.21	3.58	2.16	5.58	2.32	7.21	4.34	0.72	10.94	1.1	2.6
5224.461331N	00220.673426W	30.76	10:30:34.25	3.70	2.15	5.85	2.34	7.38	4.44	0.70	11.42	1.2	1.4
5224.461319N	00220.673428W	30.77	10:30:35.16	3.72	2.15	5.86	2.32	7.38	4.41	0.70	11.42	1.2	1.5
5224.461315N	00220.673427W	30.77	10:30:36.21	3.71	2.15	5.83	2.34	7.39	4.43	0.70	11.43	1.2	1.5
5224.461307N	00220.673431W	30.76	10:30:37.25	3.76	2.16	5.89	2.32	7.42	4.42	0.70	11.48	1.2	1.6
5224.461272N	00220.673436W	30.77	10:30:38.16	3.80	2.16	6.00	2.34	7.63	4.37	0.72	11.80	1.2	1.8
5224.461285N	00220.673421W	30.77	10:30:39.20	3.70	2.16	5.88	2.35	7.22	4.43	0.72	10.95	1.1	2.8
5224.461286N	00220.673413W	30.77	10:30:40.26	3.70	2.16	5.90	2.34	7.56	4.46	0.71	11.70	1.2	2.7
5224.461281N	00220.673422W	30.78	10:30:41.16	3.76	2.16	6.06	2.36	7.65	4.46	0.72	11.83	1.2	2.0
5224.461276N	00220.673432W	30.78	10:30:42.21	3.80	2.16	6.13	2.36	7.56	4.51	0.71	11.70	1.2	1.9
5224.461278N	00220.673420W	30.80	10:30:43.26	3.80	2.15	5.91	2.34	7.52	4.45	0.71	11.63	1.2	1.8
5224.461275N	00220.673394W	30.80	10:30:44.16	3.71	2.16	5.98	2.33	7.55	4.46	0.71	11.68	1.2	2.1
5224.461282N	00220.673405W	30.81	10:30:45.21	3.68	2.16	5.72	2.34	7.10	4.35	0.71	10.77	1.1	2.8
5224.461278N	00220.673408W	30.80	10:30:46.26	3.76	2.16	5.96	2.31	7.33	4.40	0.69	11.34	1.2	2.8
5224.461273N	00220.673403W	30.81	10:30:47.16	3.71	2.17	5.93	2.36	7.55	4.50	0.71	11.68	1.2	2.3
5224.461288N	00220.673410W	30.80	10:30:48.21	3.64	2.17	5.72	2.35	7.39	4.49	0.70	11.43	1.2	2.8
5224.461255N	00220.673407W	30.79	10:30:49.26	3.63	2.17	5.89	2.39	7.32	4.53	0.69	11.32	1.2	2.1
5224.461237N	00220.673404W	30.81	10:30:50.16	3.86	2.16	6.06	2.38	7.67	4.49	0.72	11.87	1.2	1.5
5224.461207N	00220.673420W	30.79	10:30:51.21	3.93	2.17	6.24	2.43	7.85	4.69	0.74	12.14	1.2	1.3
5224.461209N	00220.673458W	30.80	10:30:52.26	3.94	2.17	6.28	2.41	7.92	4.64	0.75	12.25	1.2	1.5
5224.461205N	00220.673449W	30.80	10:30:53.16	3.92	2.17	6.28	2.42	7.74	4.69	0.73	11.97	1.2	2.2
5224.461193N	00220.673440W	30.80	10:30:54.20	3.98	2.17	6.48	2.43	8.00	4.68	0.76	12.38	1.2	2.0
5224.461187N	00220.673446W	30.80	10:30:55.26	3.96	2.17	6.40	2.41	8.05	4.62	0.76	12.45	1.2	1.8
5224.461178N	00220.673459W	30.81	10:30:56.16	4.04	2.16	6.42	2.43	8.03	4.65	0.76	12.42	1.2	1.4
5224.461180N	00220.673446W	30.81	10:30:57.21	4.02	2.17	6.44	2.45	8.13	4.72	0.77	12.58	1.2	1.7
5224.461187N	00220.673448W	30.82	10:30:58.26	4.02	2.17	6.38	2.42	7.99	4.78	0.75	12.36	1.2	1.3
5224.461187N	00220.673456W	30.82	10:30:59.16	4.09	2.17	6.38	2.42	7.95	4.62	0.75	12.30	1.2	2.2
5224.461185N	00220.673454W	30.82	10:31:00.20	3.92	2.17	6.27	2.45	7.77	4.76	0.73	12.02	1.2	1.8
5224.461183N	00220.673454W	30.81	10:31:01.25	4.04	2.17	6.51	2.42	8.15	4.69	0.77	12.61	1.2	1.7
5224.461181N	00220.673446W	30.82	10:31:02.16	4.11	2.17	6.50	2.44	8.16	4.70	0.77	12.62	1.2	1.3
5224.461179N	00220.673444W	30.83	10:31:03.21	3.93	2.17	6.43	2.43	8.01	4.65	0.76	12.39	1.2	2.2
5224.461183N	00220.673455W	30.83	10:31:04.26	4.06	2.17	6.39	2.45	8.03	4.71	0.76	12.42	1.2	1.4
5224.461179N	00220.673449W	30.83	10:31:05.16	4.06	2.17	6.48	2.43	8.11	4.69	0.77	12.55	1.2	1.4
5224.461181N	00220.673448W	30.83	10:31:06.21	3.96	2.17	6.32	2.44	7.93	4.72	0.75	12.27	1.2	1.4
5224.461200N	00220.673436W	30.84	10:31:07.11	4.09	2.17	6.54	2.40	8.32	4.56	0.79	12.87	1.2	2.1
5224.461202N	00220.673431W	30.85	10:31:08.16	4.07	2.17	6.44	2.44	8.10	4.69	0.77	12.53	1.2	1.1
5224.461195N	00220.673429W	30.85	10:31:09.20	3.97	2.17	6.26	2.41	7.93	4.65	0.75	12.27	1.2	1.5
5224.461183N	00220.673409W	30.86	10:31:10.10	3.93	2.17	6.36	2.40	8.08	4.61	0.76	12.50	1.2	2.5
5224.461178N	00220.673424W	30.86	10:31:11.16	3.90	2.17	6.25	2.42	7.78	4.58	0.73	12.04	1.2	1.6
5224.461204N	00220.673429W	30.87	10:31:12.20	3.98	2.17	6.30	2.42	8.09	4.65	0.76	12.52	1.2	2.4
5224.461196N	00220.673418W	30.86	10:31:13.11	3.91	2.17	6.21	2.41	7.80	4.61	0.74	12.07	1.2	1.3
5224.461178N	00220.673401W	30.85	10:31:14.16	3.96	2.17	6.31	2.42	7.93	4.67	0.75	12.27	1.2	1.4
