block,plots,VCP0.32,VCP0.71,VCP1.18,lo1inph,lo2inph,lo3inph,lo1err,lo2err,lo3err,HCP0.32,HCP0.71,HCP1.18,hi1inph,hi2inph,hi3inph,hi1err,hi2err,hi3err,repeat,treatment,name
1,1,23.17,25.64,31.27,2.87,3.21,3.51,0,0.2,0.1,23.1,30.45,39.65,3.12,3.32,3.77,0,0.2,0.4,1,55,Akteur
1,1,23.58,26.8,32.11,2.85,3.08,3.39,0,0.1,0.1,22.75,31.48,40.78,3.05,3.32,3.79,0.1,0.2,0.3,2,55,Akteur
1,1,23.99,26.58,31.67,2.86,3.1,3.4,0,0.1,0.3,22.59,30.73,39.93,3.07,3.34,3.81,0.2,0.1,0.1,3,55,Akteur
1,2,22.11,25.19,29.95,2.85,3.1,3.42,0,0.1,0.2,22,29.15,37.2,3.09,3.34,3.85,0.2,0.2,0,1,46,Cadenza
1,2,23.05,24.59,28.54,2.84,3.08,3.35,0.1,0.2,0.1,22.55,28.3,35.85,3.06,3.3,3.72,0.1,0,0,2,46,Cadenza
1,2,22.39,23.89,27.32,2.87,3.05,3.31,0,0.1,0,20.44,26.55,33.74,3.08,3.33,3.79,0.2,0.2,0.2,3,46,Cadenza
1,3,20.37,22.5,26.86,2.86,3.06,3.17,0.2,0,0.2,18.9,25.73,33.21,3.02,3.15,4.17,0,0.1,0,1,5,JB Diego
1,3,21.92,22.26,26.92,2.79,3.06,3.29,0.1,0,0,22.33,26.78,34.6,3.05,3.26,3.87,0,0.3,0.3,2,5,JB Diego
1,3,21.12,23.53,27.83,2.75,2.47,2.64,0,0,0.2,20.22,28.01,36.86,2.99,3.24,3.73,0,0,0,3,5,JB Diego
1,4,25.17,26.2,31.98,3.44,3.04,2.35,0.2,0.1,0.7,23.06,32.42,41.38,3.03,3.29,3.81,0,0.1,0.1,1,19,AC Unity
1,4,23.59,26.75,31.98,2.85,3.04,3.35,0.2,0,0,22.96,30.39,39.06,3.06,3.34,3.79,0,0.1,0,2,19,AC Unity
1,4,20.97,23.7,28.77,2.92,3.12,3.41,0.1,0,0,20.41,27.23,35.96,3.07,3.35,3.78,0.1,0.2,0.2,3,19,AC Unity
1,5,23.91,25.67,29.92,2.9,3.19,3.6,0.3,0,0.5,23.89,30.08,37.46,3.11,3.36,3.81,0.1,0.1,0,1,25,Oakes
1,5,21.85,23.77,27.48,2.85,3.06,3.37,0,0,0.1,20.43,25.66,34.01,3.01,3.29,3.68,0,0,0,2,25,Oakes
1,5,21.22,23.43,27.27,2.86,3.09,3.38,0,0,0,20.93,26.87,35.24,3.09,3.33,3.74,0.3,0.2,0.2,3,25,Oakes
1,6,22.09,23.66,27.8,2.9,3.22,3.54,0,0,0.1,21.61,26.88,33.48,3.03,3.33,3.77,0.2,0,0.1,1,35,Gallant (med)
1,6,23.2,24.02,27.28,2.88,3.09,3.38,0.1,0.1,0,20.7,25.85,31.79,3.04,3.31,3.72,0,0,0.3,2,35,Gallant (med)
1,6,20.77,22.41,26.08,2.88,3.09,3.35,0.2,0.2,0.5,18.83,24.02,30.15,3.06,3.31,3.72,0,0.3,0,3,35,Gallant (med)
1,7,20.52,21.18,24.2,2.84,3.07,3.41,0.1,0,0.2,20.28,23.64,30.86,3.06,3.34,3.78,0.4,0.6,0.4,1,68,Cellule
1,7,21.86,21.68,24.44,2.87,3.06,3.32,0,0,0.4,20.94,24.25,30.08,3.05,3.32,3.78,0,0.3,0.4,2,68,Cellule
1,7,21.25,20.71,24.06,2.87,3.08,3.35,0.1,0.1,0.4,18.86,23.63,31.56,3.07,3.33,3.76,0,0.3,0,3,68,Cellule
1,8,21.48,23.32,27.39,2.89,3.09,3.43,0,0,0.3,22.78,28.27,35.72,3.05,3.3,3.76,0.2,0.1,0.1,1,72,Bermude
1,8,21.23,23.53,27.93,2.87,3.09,3.39,0,0.1,0.1,21.39,27.24,34.52,3.11,3.36,3.81,0,0.2,0,2,72,Bermude
1,8,21.76,23.86,27.93,2.9,3.09,3.38,0,0,0.6,20.35,27.23,35.76,3.09,3.34,3.84,0.1,0,0.2,3,72,Bermude
1,9,20.41,22.76,27.65,2.91,3.13,3.42,0.1,0,0.8,20.03,27.06,34.98,3.02,3.32,3.79,0.1,0.4,0.2,1,24,SY Southwind
1,9,21.22,23.8,28.32,2.89,3.11,3.42,0.1,0.1,0,21.86,27.04,35.46,3.06,3.31,3.75,0,0.1,0.1,2,24,SY Southwind
1,9,21.86,23.31,27.78,2.9,3.11,3.39,0.1,0.4,0.2,22.28,26.53,35.5,3.02,3.32,3.73,0.1,0.4,0.2,3,24,SY Southwind
1,10,20.96,22.66,26.2,2.87,3.08,3.33,0,0.3,0.1,20.14,25.31,32.65,3.04,3.29,3.77,0,0,0.4,1,6,KWS Kielder
1,10,23.04,22.26,25.91,2.87,3.1,3.38,0.5,0.1,0,19.6,23.52,29.83,3.01,3.28,3.75,4,3.1,2.7,2,6,KWS Kielder
1,10,23.91,24.03,26.41,2.85,3.04,3.36,0,0,0,21.46,23.78,29.73,3.09,3.35,3.78,0,0,0.1,3,6,KWS Kielder
1,11,20.57,22.01,25.31,2.87,3.11,3.39,0,0,0,19.54,25.02,31.8,3.1,3.38,3.81,0.1,0,0.1,1,63,Interet
1,11,23.07,22.66,25.28,2.88,3.1,3.44,0,0,0.2,18.73,24.81,32.46,3.07,3.3,3.72,0.1,0.3,0,2,63,Interet
1,11,21.58,22.62,26.36,2.89,3.13,3.43,0,0,0,20.89,25.61,32.73,3.09,3.34,3.78,0.2,0.4,0.2,3,63,Interet
1,12,21.46,22.31,25.8,2.89,3.09,3.32,0.1,0.1,0.3,19.66,25.28,32.76,3.04,3.29,3.69,0,0,0.1,1,36,RhtC
1,12,23.73,23.65,26.95,2.86,3.11,3.39,0.1,0,0,19.73,25.68,32.94,3.11,3.31,3.7,0,0.1,0.1,2,36,RhtC
1,12,22.2,23.53,27.66,2.9,3.18,3.47,0,0.2,0.3,21.09,26.12,33.36,3.1,3.33,3.75,0.1,0,0.4,3,36,RhtC
1,13,20.47,21.76,27.13,2.87,3.15,3.43,0.1,0.1,0.6,18.2,26.15,36.23,3.1,3.32,3.78,0.1,0.2,0.1,1,64,SYNAB108101
1,13,24.99,38.66,33.18,2.87,2.54,3.43,0.1,0,0.1,22.84,25.41,41.48,3.08,3.72,3.77,0.3,0.6,0,2,64,SYNAB108101
1,13,23.56,28.01,33.89,2.95,3.14,3.46,0.1,0.1,0.1,23.63,32.64,43.04,3.07,3.32,3.82,0.1,0.1,0,3,64,SYNAB108101
1,14,18.24,21.26,25.77,2.92,3.11,3.36,0,0,0.2,18.61,25.39,34.38,3,3.29,3.81,0,0.1,0.1,1,32,Dickens (med)
1,14,18.78,21.14,25.68,2.91,3.12,3.39,0.2,0.2,0,19.15,25.34,33.99,2.99,3.27,3.75,0.1,0,0.1,2,32,Dickens (med)
1,14,19.74,22.19,26.5,2.91,2.98,2.97,0,0,0.1,19,25.45,33.36,3.1,3.17,3.62,0.2,0.3,0,3,32,Dickens (med)
